pid,parent,zoneIndex,x,y,z,pitch,yaw,roll,ptype,category,path,comment,extraData
24755,-1,2,,,,,,,mirrorMaze,CrystalLabyrinth,World / Verdant Glen / DailyPuzzle / CrystalLabyrinth_24755,,
24756,-1,2,,,,,,,mirrorMaze,CrystalLabyrinth,World / Verdant Glen / DailyPuzzle / CrystalLabyrinth_24756,,
24770,-1,2,,,,,,,mirrorMaze,CrystalLabyrinth,World / Verdant Glen / DailyPuzzle / CrystalLabyrinth_24770,,
24778,-1,2,,,,,,,mirrorMaze,CrystalLabyrinth,World / Verdant Glen / DailyPuzzle / CrystalLabyrinth_24778,,
24780,-1,2,,,,,,,mirrorMaze,CrystalLabyrinth,World / Verdant Glen / DailyPuzzle / CrystalLabyrinth_24780,,
24784,-1,2,,,,,,,mirrorMaze,CrystalLabyrinth,World / Verdant Glen / DailyPuzzle / CrystalLabyrinth_24784,,
24790,-1,2,,,,,,,mirrorMaze,CrystalLabyrinth,World / Verdant Glen / DailyPuzzle / CrystalLabyrinth_24790,,
24795,-1,2,,,,,,,mirrorMaze,CrystalLabyrinth,World / Verdant Glen / DailyPuzzle / CrystalLabyrinth_24795,,
24797,-1,2,,,,,,,mirrorMaze,CrystalLabyrinth,World / Verdant Glen / DailyPuzzle / CrystalLabyrinth_24797,,
24799,-1,2,,,,,,,mirrorMaze,CrystalLabyrinth,World / Verdant Glen / DailyPuzzle / CrystalLabyrinth_24799,,
24800,-1,2,,,,,,,mirrorMaze,CrystalLabyrinth,World / Verdant Glen / DailyPuzzle / CrystalLabyrinth_24800,,
24807,-1,2,,,,,,,mirrorMaze,CrystalLabyrinth,World / Verdant Glen / DailyPuzzle / CrystalLabyrinth_24807,,
24811,-1,2,,,,,,,mirrorMaze,CrystalLabyrinth,World / Verdant Glen / DailyPuzzle / CrystalLabyrinth_24811,,
24814,-1,2,,,,,,,mirrorMaze,CrystalLabyrinth,World / Verdant Glen / DailyPuzzle / CrystalLabyrinth_24814,,
24819,-1,2,,,,,,,mirrorMaze,CrystalLabyrinth,World / Verdant Glen / DailyPuzzle / CrystalLabyrinth_24819,,
24821,-1,2,,,,,,,mirrorMaze,CrystalLabyrinth,World / Verdant Glen / DailyPuzzle / CrystalLabyrinth_24821,,
24825,-1,2,,,,,,,mirrorMaze,CrystalLabyrinth,World / Verdant Glen / DailyPuzzle / CrystalLabyrinth_24825,,
24833,-1,2,,,,,,,mirrorMaze,CrystalLabyrinth,World / Verdant Glen / DailyPuzzle / CrystalLabyrinth_24833,,
24834,-1,2,,,,,,,mirrorMaze,CrystalLabyrinth,World / Verdant Glen / DailyPuzzle / CrystalLabyrinth_24834,,
24841,-1,2,,,,,,,mirrorMaze,CrystalLabyrinth,World / Verdant Glen / DailyPuzzle / CrystalLabyrinth_24841,,
24858,-1,2,,,,,,,mirrorMaze,CrystalLabyrinth,World / Verdant Glen / DailyPuzzle / CrystalLabyrinth_24858,,
24860,-1,2,,,,,,,mirrorMaze,CrystalLabyrinth,World / Verdant Glen / DailyPuzzle / CrystalLabyrinth_24860,,
24861,-1,2,,,,,,,mirrorMaze,CrystalLabyrinth,World / Verdant Glen / DailyPuzzle / CrystalLabyrinth_24861,,
24864,-1,2,,,,,,,mirrorMaze,CrystalLabyrinth,World / Verdant Glen / DailyPuzzle / CrystalLabyrinth_24864,,
24868,-1,2,,,,,,,mirrorMaze,CrystalLabyrinth,World / Verdant Glen / DailyPuzzle / CrystalLabyrinth_24868,,
24869,-1,2,,,,,,,mirrorMaze,CrystalLabyrinth,World / Verdant Glen / DailyPuzzle / CrystalLabyrinth_24869,,
24872,-1,2,,,,,,,mirrorMaze,CrystalLabyrinth,World / Verdant Glen / DailyPuzzle / CrystalLabyrinth_24872,,
24878,-1,2,,,,,,,mirrorMaze,CrystalLabyrinth,World / Verdant Glen / DailyPuzzle / CrystalLabyrinth_24878,,
24879,-1,2,,,,,,,mirrorMaze,CrystalLabyrinth,World / Verdant Glen / DailyPuzzle / CrystalLabyrinth_24879,,
24880,-1,2,,,,,,,mirrorMaze,CrystalLabyrinth,World / Verdant Glen / DailyPuzzle / CrystalLabyrinth_24880,,
24882,-1,2,,,,,,,mirrorMaze,CrystalLabyrinth,World / Verdant Glen / DailyPuzzle / CrystalLabyrinth_24882,,
24888,-1,2,,,,,,,mirrorMaze,CrystalLabyrinth,World / Verdant Glen / DailyPuzzle / CrystalLabyrinth_24888,,
24895,-1,2,,,,,,,mirrorMaze,CrystalLabyrinth,World / Verdant Glen / DailyPuzzle / CrystalLabyrinth_24895,,
24904,-1,2,,,,,,,mirrorMaze,CrystalLabyrinth,World / Verdant Glen / DailyPuzzle / CrystalLabyrinth_24904,,
24905,-1,2,,,,,,,mirrorMaze,CrystalLabyrinth,World / Verdant Glen / DailyPuzzle / CrystalLabyrinth_24905,,
24924,-1,2,,,,,,,mirrorMaze,CrystalLabyrinth,World / Verdant Glen / DailyPuzzle / CrystalLabyrinth_24924,,
24925,-1,2,,,,,,,mirrorMaze,CrystalLabyrinth,World / Verdant Glen / DailyPuzzle / CrystalLabyrinth_24925,,
24932,-1,2,,,,,,,mirrorMaze,CrystalLabyrinth,World / Verdant Glen / DailyPuzzle / CrystalLabyrinth_24932,,
24934,-1,2,,,,,,,mirrorMaze,CrystalLabyrinth,World / Verdant Glen / DailyPuzzle / CrystalLabyrinth_24934,,
24941,-1,2,,,,,,,mirrorMaze,CrystalLabyrinth,World / Verdant Glen / DailyPuzzle / CrystalLabyrinth_24941,,
24944,-1,2,,,,,,,mirrorMaze,CrystalLabyrinth,World / Verdant Glen / DailyPuzzle / CrystalLabyrinth_24944,,
24949,-1,2,,,,,,,mirrorMaze,CrystalLabyrinth,World / Verdant Glen / DailyPuzzle / CrystalLabyrinth_24949,,
24959,-1,2,,,,,,,mirrorMaze,CrystalLabyrinth,World / Verdant Glen / DailyPuzzle / CrystalLabyrinth_24959,,
24961,-1,2,,,,,,,mirrorMaze,CrystalLabyrinth,World / Verdant Glen / DailyPuzzle / CrystalLabyrinth_24961,,
24965,-1,2,,,,,,,mirrorMaze,CrystalLabyrinth,World / Verdant Glen / DailyPuzzle / CrystalLabyrinth_24965,,
24971,-1,2,,,,,,,mirrorMaze,CrystalLabyrinth,World / Verdant Glen / DailyPuzzle / CrystalLabyrinth_24971,,
24972,-1,2,,,,,,,mirrorMaze,CrystalLabyrinth,World / Verdant Glen / DailyPuzzle / CrystalLabyrinth_24972,,
24973,-1,2,,,,,,,mirrorMaze,CrystalLabyrinth,World / Verdant Glen / DailyPuzzle / CrystalLabyrinth_24973,,
24976,-1,2,,,,,,,mirrorMaze,CrystalLabyrinth,World / Verdant Glen / DailyPuzzle / CrystalLabyrinth_24976,,
24981,-1,2,,,,,,,mirrorMaze,CrystalLabyrinth,World / Verdant Glen / DailyPuzzle / CrystalLabyrinth_24981,,
24983,-1,2,,,,,,,mirrorMaze,CrystalLabyrinth,World / Verdant Glen / DailyPuzzle / CrystalLabyrinth_24983,,
24986,-1,2,,,,,,,mirrorMaze,CrystalLabyrinth,World / Verdant Glen / DailyPuzzle / CrystalLabyrinth_24986,,
24991,-1,2,,,,,,,mirrorMaze,CrystalLabyrinth,World / Verdant Glen / DailyPuzzle / CrystalLabyrinth_24991,,
24994,-1,2,,,,,,,mirrorMaze,CrystalLabyrinth,World / Verdant Glen / DailyPuzzle / CrystalLabyrinth_24994,,
24995,-1,2,,,,,,,mirrorMaze,CrystalLabyrinth,World / Verdant Glen / DailyPuzzle / CrystalLabyrinth_24995,,
24996,-1,2,,,,,,,mirrorMaze,CrystalLabyrinth,World / Verdant Glen / DailyPuzzle / CrystalLabyrinth_24996,,
24997,-1,2,,,,,,,mirrorMaze,CrystalLabyrinth,World / Verdant Glen / DailyPuzzle / CrystalLabyrinth_24997,,
24999,-1,2,,,,,,,mirrorMaze,CrystalLabyrinth,World / Verdant Glen / DailyPuzzle / CrystalLabyrinth_24999,,
25011,-1,2,,,,,,,mirrorMaze,CrystalLabyrinth,World / Verdant Glen / DailyPuzzle / CrystalLabyrinth_25011,,
25015,-1,2,,,,,,,mirrorMaze,CrystalLabyrinth,World / Verdant Glen / DailyPuzzle / CrystalLabyrinth_25015,,
25019,-1,2,,,,,,,mirrorMaze,CrystalLabyrinth,World / Verdant Glen / DailyPuzzle / CrystalLabyrinth_25019,,
25020,-1,2,,,,,,,mirrorMaze,CrystalLabyrinth,World / Verdant Glen / DailyPuzzle / CrystalLabyrinth_25020,,
25023,-1,2,,,,,,,mirrorMaze,CrystalLabyrinth,World / Verdant Glen / DailyPuzzle / CrystalLabyrinth_25023,,
25024,-1,2,,,,,,,mirrorMaze,CrystalLabyrinth,World / Verdant Glen / DailyPuzzle / CrystalLabyrinth_25024,,
25028,-1,2,,,,,,,mirrorMaze,CrystalLabyrinth,World / Verdant Glen / DailyPuzzle / CrystalLabyrinth_25028,,
25030,-1,2,,,,,,,mirrorMaze,CrystalLabyrinth,World / Verdant Glen / DailyPuzzle / CrystalLabyrinth_25030,,
25032,-1,2,,,,,,,mirrorMaze,CrystalLabyrinth,World / Verdant Glen / DailyPuzzle / CrystalLabyrinth_25032,,
25035,-1,2,,,,,,,mirrorMaze,CrystalLabyrinth,World / Verdant Glen / DailyPuzzle / CrystalLabyrinth_25035,,
25039,-1,2,,,,,,,mirrorMaze,CrystalLabyrinth,World / Verdant Glen / DailyPuzzle / CrystalLabyrinth_25039,,
25040,-1,2,,,,,,,mirrorMaze,CrystalLabyrinth,World / Verdant Glen / DailyPuzzle / CrystalLabyrinth_25040,,
25047,-1,2,,,,,,,mirrorMaze,CrystalLabyrinth,World / Verdant Glen / DailyPuzzle / CrystalLabyrinth_25047,,
