pid,parent,zoneIndex,ptype,category,path,comment,extraData,family,solveValue,coords
23,-1,4,logicGrid,LogicGrid,World / Autumn Falls / Cluster / Congruence / ClusterPuzzle / LogicGrid_23,,{"cluster":"Cong"},cluster,0,[]
162,-1,4,logicGrid,LogicGrid,World / Autumn Falls / Cluster / Congruence / ClusterPuzzle / LogicGrid_162,,{"cluster":"Cong"},cluster,0,[]
197,-1,4,logicGrid,LogicGrid,World / Autumn Falls / Cluster / Congruence / ClusterPuzzle / LogicGrid_197,,{"cluster":"Cong"},cluster,0,[]
1705,-1,4,logicGrid,LogicGrid,World / Autumn Falls / Cluster / Congruence / ClusterPuzzle / LogicGrid_1705,,{"cluster":"Cong"},cluster,0,[]
1706,-1,4,logicGrid,LogicGrid,World / Autumn Falls / Cluster / Congruence / ClusterPuzzle / LogicGrid_1706,,{"cluster":"Cong"},cluster,0,[]
1707,-1,4,logicGrid,LogicGrid,World / Autumn Falls / Cluster / Congruence / ClusterPuzzle / LogicGrid_1707,,{"cluster":"Cong"},cluster,0,[]
1708,-1,4,logicGrid,LogicGrid,World / Autumn Falls / Cluster / Congruence / ClusterPuzzle / LogicGrid_1708,,{"cluster":"Cong"},cluster,0,[]
1711,-1,4,logicGrid,LogicGrid,World / Autumn Falls / Cluster / Congruence / ClusterPuzzle / LogicGrid_1711,,{"cluster":"Cong"},cluster,0,[]
1718,-1,4,logicGrid,LogicGrid,World / Autumn Falls / Cluster / Congruence / ClusterPuzzle / LogicGrid_1718,,{"cluster":"Cong"},cluster,0,[]
1721,-1,4,logicGrid,LogicGrid,World / Autumn Falls / Cluster / Congruence / ClusterPuzzle / LogicGrid_1721,,{"cluster":"Cong"},cluster,0,[]
1738,-1,4,logicGrid,LogicGrid,World / Autumn Falls / Cluster / Congruence / ClusterPuzzle / LogicGrid_1738,,{"cluster":"Cong"},cluster,0,[]
1739,-1,4,logicGrid,LogicGrid,World / Autumn Falls / Cluster / Congruence / ClusterPuzzle / LogicGrid_1739,,{"cluster":"Cong"},cluster,0,[]
1740,-1,4,logicGrid,LogicGrid,World / Autumn Falls / Cluster / Congruence / ClusterPuzzle / LogicGrid_1740,,{"cluster":"Cong"},cluster,0,[]
1744,-1,4,logicGrid,LogicGrid,World / Autumn Falls / Cluster / Congruence / ClusterPuzzle / LogicGrid_1744,,{"cluster":"Cong"},cluster,0,[]
1762,-1,4,logicGrid,LogicGrid,World / Autumn Falls / Cluster / Congruence / ClusterPuzzle / LogicGrid_1762,,{"cluster":"Cong"},cluster,0,[]
1767,-1,4,logicGrid,LogicGrid,World / Autumn Falls / Cluster / Congruence / ClusterPuzzle / LogicGrid_1767,,{"cluster":"Cong"},cluster,0,[]
2057,-1,4,logicGrid,LogicGrid,World / Autumn Falls / Cluster / Congruence / ClusterPuzzle / LogicGrid_2057,,{"cluster":"Cong"},cluster,0,[]
2105,-1,4,logicGrid,LogicGrid,World / Autumn Falls / Cluster / Congruence / ClusterPuzzle / LogicGrid_2105,,{"cluster":"Cong"},cluster,0,[]
2107,-1,4,logicGrid,LogicGrid,World / Autumn Falls / Cluster / Congruence / ClusterPuzzle / LogicGrid_2107,,{"cluster":"Cong"},cluster,0,[]
2110,-1,4,logicGrid,LogicGrid,World / Autumn Falls / Cluster / Congruence / ClusterPuzzle / LogicGrid_2110,,{"cluster":"Cong"},cluster,0,[]
2111,-1,4,logicGrid,LogicGrid,World / Autumn Falls / Cluster / Congruence / ClusterPuzzle / LogicGrid_2111,,{"cluster":"Cong"},cluster,0,[]
2169,-1,4,logicGrid,LogicGrid,World / Autumn Falls / Cluster / Congruence / ClusterPuzzle / LogicGrid_2169,,{"cluster":"Cong"},cluster,0,[]
2171,-1,4,logicGrid,LogicGrid,World / Autumn Falls / Cluster / Congruence / ClusterPuzzle / LogicGrid_2171,,{"cluster":"Cong"},cluster,0,[]
2172,-1,4,logicGrid,LogicGrid,World / Autumn Falls / Cluster / Congruence / ClusterPuzzle / LogicGrid_2172,,{"cluster":"Cong"},cluster,0,[]
2176,-1,4,logicGrid,LogicGrid,World / Autumn Falls / Cluster / Congruence / ClusterPuzzle / LogicGrid_2176,,{"cluster":"Cong"},cluster,0,[]
2212,-1,4,logicGrid,LogicGrid,World / Autumn Falls / Cluster / Congruence / ClusterPuzzle / LogicGrid_2212,,{"cluster":"Cong"},cluster,0,[]
2230,-1,4,logicGrid,LogicGrid,World / Autumn Falls / Cluster / Congruence / ClusterPuzzle / LogicGrid_2230,,{"cluster":"Cong"},cluster,0,[]
2231,-1,4,logicGrid,LogicGrid,World / Autumn Falls / Cluster / Congruence / ClusterPuzzle / LogicGrid_2231,,{"cluster":"Cong"},cluster,0,[]
2269,-1,4,logicGrid,LogicGrid,World / Autumn Falls / Cluster / Congruence / ClusterPuzzle / LogicGrid_2269,,{"cluster":"Cong"},cluster,0,[]
2271,-1,4,logicGrid,LogicGrid,World / Autumn Falls / Cluster / Congruence / ClusterPuzzle / LogicGrid_2271,,{"cluster":"Cong"},cluster,0,[]
2283,-1,4,logicGrid,LogicGrid,World / Autumn Falls / Cluster / Congruence / ClusterPuzzle / LogicGrid_2283,,{"cluster":"Cong"},cluster,0,[]
2284,-1,4,logicGrid,LogicGrid,World / Autumn Falls / Cluster / Congruence / ClusterPuzzle / LogicGrid_2284,,{"cluster":"Cong"},cluster,0,[]
2309,-1,4,logicGrid,LogicGrid,World / Autumn Falls / Cluster / Congruence / ClusterPuzzle / LogicGrid_2309,,{"cluster":"Cong"},cluster,0,[]
2365,-1,4,logicGrid,LogicGrid,World / Autumn Falls / Cluster / Congruence / ClusterPuzzle / LogicGrid_2365,,{"cluster":"Cong"},cluster,0,[]
2368,-1,4,logicGrid,LogicGrid,World / Autumn Falls / Cluster / Congruence / ClusterPuzzle / LogicGrid_2368,,{"cluster":"Cong"},cluster,0,[]
2369,-1,4,logicGrid,LogicGrid,World / Autumn Falls / Cluster / Congruence / ClusterPuzzle / LogicGrid_2369,,{"cluster":"Cong"},cluster,0,[]
2370,-1,4,logicGrid,LogicGrid,World / Autumn Falls / Cluster / Congruence / ClusterPuzzle / LogicGrid_2370,,{"cluster":"Cong"},cluster,0,[]
2510,-1,4,logicGrid,LogicGrid,World / Autumn Falls / Cluster / Congruence / ClusterPuzzle / LogicGrid_2510,,{"cluster":"Cong"},cluster,0,[]
2787,-1,4,logicGrid,LogicGrid,World / Autumn Falls / Cluster / Congruence / ClusterPuzzle / LogicGrid_2787,,{"cluster":"Cong"},cluster,0,[]
2809,-1,4,logicGrid,LogicGrid,World / Autumn Falls / Cluster / Congruence / ClusterPuzzle / LogicGrid_2809,,{"cluster":"Cong"},cluster,0,[]
2810,-1,4,logicGrid,LogicGrid,World / Autumn Falls / Cluster / Congruence / ClusterPuzzle / LogicGrid_2810,,{"cluster":"Cong"},cluster,0,[]
2851,-1,4,logicGrid,LogicGrid,World / Autumn Falls / Cluster / Congruence / ClusterPuzzle / LogicGrid_2851,,{"cluster":"Cong"},cluster,0,[]
2965,-1,4,logicGrid,LogicGrid,World / Autumn Falls / Cluster / Congruence / ClusterPuzzle / LogicGrid_2965,,{"cluster":"Cong"},cluster,0,[]
2966,-1,4,logicGrid,LogicGrid,World / Autumn Falls / Cluster / Congruence / ClusterPuzzle / LogicGrid_2966,,{"cluster":"Cong"},cluster,0,[]
2970,-1,4,logicGrid,LogicGrid,World / Autumn Falls / Cluster / Congruence / ClusterPuzzle / LogicGrid_2970,,{"cluster":"Cong"},cluster,0,[]
2971,-1,4,logicGrid,LogicGrid,World / Autumn Falls / Cluster / Congruence / ClusterPuzzle / LogicGrid_2971,,{"cluster":"Cong"},cluster,0,[]
