zoneIndex,x,y,z,localID,ptype
4,-33912.246094,42362.195312,16169.538086,Monument1_C--alyss--LLGBWOPETIAEAOMPWVWOBTINADOX--1670179798--Monument1_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandSlabs.RiverlandSlabs:PersistentLevel.Monument48_0,fractalMatch|lockpick|match3|klotski
6,-50201.253906,24275.134766,17448.917969,Monument1_C--jbard--AAHVEEBZNTWRWYSYAONDRKLTFVDC--1680587048--Monument1_C /Game/ASophia/Maps/MainMapSubmaps/Mountain/MountainPuzzles/Mountain_Slabs.Mountain_Slabs:PersistentLevel.Monument1_C_1,fractalMatch|lockpick|match3|klotski
6,-21012.84375,10784.939453,17876.75,Monument1_C--jbard--ABOWNGUPNENJKVXBDKFDVAQPZIMT--1680597966--Monument1_C /Game/ASophia/Maps/MainMapSubmaps/Mountain/MountainPuzzles/Mountain_Slabs.Mountain_Slabs:PersistentLevel.Monument47,fractalMatch|lockpick|match3|klotski
6,-28617.490234,-10441.875,38644.664062,Monument1_C--jbard--AEDQYNVODEFTGLWTKCPSLHDFTTZL--1680595309--Monument1_C /Game/ASophia/Maps/MainMapSubmaps/Mountain/MountainPuzzles/Mountain_Slabs.Mountain_Slabs:PersistentLevel.Monument5,fractalMatch|lockpick|match3|klotski
2,59852.46875,71528.671875,14126.851562,Monument1_C--jbard--AFOIXTYABNYVAGGZTXCPESUOJNQS--1675118559--Monument1_C /Game/ASophia/Maps/TestingSubmaps/RainforestPlacement/RainforestJeffrey.RainforestJeffrey:PersistentLevel.Monument50,fractalMatch|match3
6,-43141.253906,-12995.6875,40763.832031,Monument1_C--jbard--AIEMMCQAEPBGNYLJLJSQGUTEUNEC--1680595630--Monument1_C /Game/ASophia/Maps/MainMapSubmaps/Mountain/MountainPuzzles/Mountain_Slabs.Mountain_Slabs:PersistentLevel.Monument13,fractalMatch|lockpick|match3|klotski
3,16628.730469,14545.235352,16698.916016,Monument1_C--jbard--AJIJPJFUTUOMUAXUWORMHNUGNDLT--1667853080--Monument1_C /Game/ASophia/Maps/MainMapSubmaps/Central/CentralPuzzles/CentralSlabs.CentralSlabs:PersistentLevel.Monument40,fractalMatch|lockpick|match3
4,-17980.832031,80212.34375,13624.933594,Monument1_C--jbard--AJTIORXPRQRHLANHCCHKPBWUIVTQ--1667853836--Monument1_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandSlabs.RiverlandSlabs:PersistentLevel.Monument8,fractalMatch|lockpick|match3|klotski
2,38760.472656,55160.628906,11927.783203,Monument1_C--jbard--AKAEODPYWRBXHOSWLOZPTKUSBDCI--1675118093--Monument1_C /Game/ASophia/Maps/TestingSubmaps/RainforestPlacement/RainforestJeffrey.RainforestJeffrey:PersistentLevel.Monument31,fractalMatch|match3
6,-24610.376953,10836.364258,26746.958984,Monument1_C--jbard--AKKLZRAIJWIMBBIGSLEWCEJLWYDC--1680596253--Monument1_C /Game/ASophia/Maps/MainMapSubmaps/Mountain/MountainPuzzles/Mountain_Slabs.Mountain_Slabs:PersistentLevel.Monument29,fractalMatch|lockpick|match3|klotski
