id,zone,ptype
2,4,logicGrid
6,5,logicGrid
12,4,logicGrid
15,4,logicGrid
22,4,logicGrid
39,4,logicGrid
43,5,logicGrid
44,6,logicGrid
48,4,logicGrid
51,5,logicGrid
54,6,logicGrid
56,6,logicGrid
57,3,logicGrid
59,6,logicGrid
65,2,logicGrid
66,2,logicGrid
67,4,logicGrid
68,2,logicGrid
70,2,logicGrid
71,3,completeThePattern
72,3,completeThePattern
73,6,logicGrid
74,4,logicGrid
75,4,logicGrid
76,4,logicGrid
77,6,logicGrid
78,6,logicGrid
79,4,logicGrid
80,4,logicGrid
81,4,logicGrid
82,4,logicGrid
83,4,logicGrid
85,4,logicGrid
86,4,logicGrid
87,5,logicGrid
135,5,logicGrid
138,6,logicGrid
160,6,logicGrid
169,6,logicGrid
189,6,logicGrid
194,6,logicGrid
196,6,logicGrid
201,4,logicGrid
207,6,logicGrid
208,6,logicGrid
209,6,logicGrid
211,6,logicGrid
212,6,logicGrid
213,6,logicGrid
217,5,logicGrid
218,6,logicGrid
222,6,logicGrid
225,3,logicGrid
229,6,logicGrid
230,6,logicGrid
234,6,logicGrid
235,4,logicGrid
243,5,logicGrid
248,6,logicGrid
254,3,logicGrid
257,6,logicGrid
276,5,logicGrid
277,5,logicGrid
279,5,logicGrid
280,5,logicGrid
281,5,logicGrid
282,5,logicGrid
285,5,logicGrid
301,3,logicGrid
302,3,logicGrid
304,3,logicGrid
307,2,completeThePattern
315,4,logicGrid
316,2,logicGrid
317,5,logicGrid
319,6,logicGrid
321,6,logicGrid
322,6,logicGrid
323,6,logicGrid
324,2,logicGrid
325,3,logicGrid
326,4,logicGrid
327,2,logicGrid
368,2,logicGrid
369,3,logicGrid
370,2,logicGrid
372,3,logicGrid
374,6,logicGrid
375,6,logicGrid
376,2,logicGrid
378,2,logicGrid
385,2,logicGrid
387,3,logicGrid
389,4,logicGrid
390,2,logicGrid
391,3,logicGrid
473,3,logicGrid
505,5,logicGrid
506,5,logicGrid
507,5,logicGrid
508,4,logicGrid
509,5,logicGrid
510,6,logicGrid
514,6,logicGrid
515,5,logicGrid
516,6,logicGrid
517,6,logicGrid
521,6,logicGrid
523,4,completeThePattern
527,5,logicGrid
528,6,logicGrid
530,5,logicGrid
531,2,logicGrid
532,4,logicGrid
533,6,logicGrid
534,5,logicGrid
536,5,logicGrid
537,4,logicGrid
540,4,logicGrid
541,3,logicGrid
542,3,logicGrid
543,4,logicGrid
546,4,logicGrid
549,6,logicGrid
550,6,logicGrid
551,4,logicGrid
552,4,logicGrid
553,6,logicGrid
554,6,logicGrid
557,3,logicGrid
558,6,logicGrid
559,6,logicGrid
563,2,logicGrid
564,6,logicGrid
565,6,logicGrid
566,6,logicGrid
567,6,logicGrid
569,6,logicGrid
570,6,logicGrid
571,6,logicGrid
572,5,logicGrid
577,5,logicGrid
578,2,logicGrid
580,6,logicGrid
581,6,logicGrid
582,6,logicGrid
583,6,logicGrid
584,6,logicGrid
585,6,logicGrid
587,5,logicGrid
589,5,logicGrid
590,5,logicGrid
591,5,logicGrid
592,6,logicGrid
595,5,logicGrid
596,5,logicGrid
597,6,logicGrid
599,3,logicGrid
600,2,logicGrid
601,4,logicGrid
602,4,logicGrid
604,6,logicGrid
605,4,logicGrid
606,4,logicGrid
608,4,logicGrid
609,6,logicGrid
610,5,logicGrid
611,2,logicGrid
612,6,logicGrid
613,3,logicGrid
614,5,logicGrid
615,4,logicGrid
616,4,logicGrid
617,5,logicGrid
618,4,logicGrid
620,5,logicGrid
621,4,logicGrid
624,5,logicGrid
625,5,logicGrid
627,2,logicGrid
628,4,logicGrid
629,6,logicGrid
630,3,logicGrid
631,3,logicGrid
632,6,logicGrid
633,5,logicGrid
634,6,logicGrid
635,6,logicGrid
636,6,logicGrid
638,4,logicGrid
640,6,logicGrid
641,4,logicGrid
643,4,logicGrid
648,5,logicGrid
651,6,logicGrid
652,4,logicGrid
654,2,logicGrid
656,5,logicGrid
657,4,logicGrid
660,6,logicGrid
661,2,logicGrid
663,2,logicGrid
664,3,logicGrid
676,6,logicGrid
677,6,logicGrid
682,6,logicGrid
692,6,logicGrid
693,6,logicGrid
697,6,logicGrid
698,6,logicGrid
700,6,logicGrid
701,6,logicGrid
702,6,logicGrid
703,6,logicGrid
711,3,logicGrid
715,4,logicGrid
717,5,logicGrid
718,3,logicGrid
719,5,logicGrid
722,5,logicGrid
723,5,logicGrid
725,4,logicGrid
726,5,logicGrid
727,5,logicGrid
729,4,logicGrid
730,5,logicGrid
731,5,logicGrid
734,4,logicGrid
735,5,logicGrid
737,5,logicGrid
739,4,logicGrid
741,5,logicGrid
745,5,logicGrid
749,4,logicGrid
752,3,logicGrid
756,3,logicGrid
758,4,logicGrid
759,4,logicGrid
761,4,logicGrid
765,6,logicGrid
776,3,logicGrid
777,3,logicGrid
779,6,logicGrid
780,6,logicGrid
781,6,logicGrid
782,4,logicGrid
789,5,logicGrid
793,6,logicGrid
794,6,logicGrid
798,5,logicGrid
800,5,logicGrid
803,4,logicGrid
804,6,logicGrid
805,4,logicGrid
806,5,logicGrid
808,6,logicGrid
809,6,logicGrid
811,4,logicGrid
812,2,logicGrid
813,5,logicGrid
816,4,logicGrid
817,6,logicGrid
818,3,logicGrid
819,5,logicGrid
820,4,logicGrid
822,6,logicGrid
828,3,completeThePattern
829,6,logicGrid
831,3,completeThePattern
832,5,completeThePattern
834,6,completeThePattern
840,2,completeThePattern
841,3,completeThePattern
842,2,completeThePattern
844,6,logicGrid
845,6,logicGrid
846,2,logicGrid
848,2,logicGrid
849,3,logicGrid
850,4,logicGrid
858,2,logicGrid
861,5,logicGrid
862,5,logicGrid
865,4,logicGrid
866,6,logicGrid
867,4,logicGrid
869,4,logicGrid
872,5,logicGrid
874,3,logicGrid
875,5,logicGrid
906,5,logicGrid
910,5,logicGrid
911,5,logicGrid
912,5,logicGrid
915,5,logicGrid
916,5,logicGrid
917,5,logicGrid
918,5,logicGrid
919,5,logicGrid
920,5,logicGrid
925,5,logicGrid
946,3,logicGrid
948,3,logicGrid
961,6,logicGrid
962,6,logicGrid
963,5,logicGrid
966,5,logicGrid
967,5,logicGrid
968,5,logicGrid
969,5,logicGrid
973,5,logicGrid
980,5,logicGrid
981,3,logicGrid
