pid,index
16998,0
13335,0
11896,0
11848,1
13970,0
7315,0
15337,1
17502,0
17435,0
7304,1
17204,0
5628,0
5749,0
10902,0
8720,0
9246,0
17661,0
6207,0
11946,0
8605,1
17930,0
15838,0
10528,0
9453,0
5256,0
12121,1
13338,1
17702,1
5631,1
13233,1
5303,1
10534,1
5566,2
17558,2
5752,1
12184,2
16972,1
11895,2
6104,1
5112,2
10387,0
22332,0
5539,3
17111,0
13403,0
15259,0
8539,0
17947,1
10521,2
11781,3
15452,3
7332,0
5713,2
17543,2
10337,0
8647,4
8420,1
9415,1
17520,1
10936,2
19064,1
9104,1
12159,3
6289,2
8453,2
13477,2
9159,2
10098,0
8142,3
9884,1
17997,0
12190,0
8993,0
13502,3
10877,3
12177,4
10531,3
10563,4
17929,2
9807,0
17096,1
7942,1
9206,3
9124,4
15276,4
10182,2
9812,1
8994,1
13692,0
11851,4
8290,5
10968,4
9279,5
17172,1
10413,1
9505,2
13862,2
5324,4
7172,0
17594,3
8213,6
15657,2
10355,1
10567,5
13840,3
8665,5
17736,4
11888,5
8073,1
5207,6
8992,2
5337,5
5514,6
17940,3
11638,6
13607,1
8212,7
18313,1
10835,5
18297,2
13992,1
5543,7
11831,7
13263,3
8356,8
17810,5
15377,4
10862,6
9363,6
5907,3
11091,0
17147,2
10954,7
7349,2
7232,3
10167,3
5153,8
11163,0
15397,7
13399,4
8565,1
8222,9
6212,4
7257,4
17045,2
10605,6
18490,0
10106,4
7046,1
15349,5
12016,5
9955,5
8223,10
9144,7
10218,0
11456,0
15815,0
7272,5
16980,3
13272,4
15727,1
11504,1
9346,8
12170,6
5645,2
11809,8
5756,3
12094,7
15360,6
10352,2
16933,4
16947,5
17688,6
8477,11
13344,5
16973,6
16747,0
5078,9
8491,12
10783,8
18126,3
5496,10
8317,13
15677,2
16789,1
10110,6
11791,9
11337,2
11597,10
5967,5
6436,6
7286,6
18555,1
15668,3
10392,2
10245,3
13955,7
17198,2
10118,7
8364,14
11097,1
11039,0
8610,8
18470,2
7247,7
10963,9
8160,15
15213,16
13690,1
9726,2
11394,3
18139,4
9891,8
5712,4
9634,3
11465,4
5355,11
8283,17
17114,3
9817,4
6136,7
10233,1
11065,10
6015,8
12096,8
17047,7
10235,2
8246,18
17205,3
17014,8
6950,2
15296,19
8174,20
15393,9
17637,7
9312,9
10430,0
18105,5
11547,5
8183,21
6300,9
17464,1
10860,11
17988,6
13218,6
8929,2
15746,3
11993,9
18393,3
9916,9
8065,2
5314,12
9408,10
11502,6
8528,2
18432,4
9881,10
7314,8
9792,5
5690,3
12095,10
8473,22
17159,4
5942,10
16775,2
22354,4
6348,11
17600,8
8629,10
16755,3
7333,4
11723,11
13780,8
8079,3
6958,3
16940,9
7378,9
6837,4
8351,23
8947,5
12102,11
18577,5
8549,3
13869,9
7052,5
10102,11
11968,12
9446,3
9776,6
17366,0
10092,12
10071,13
10616,7
8844,6
13922,10
9345,11
9054,12
10201,3
8816,7
19073,4
11327,7
8817,8
5010,0
17346,1
10093,14
17977,4
10927,12
15468,11
15791,9
6288,12
18273,7
15871,3
10999,1
16884,5
10849,13
11162,1
16975,10
18114,8
6404,13
11203,2
9887,15
5856,5
9114,13
7237,10
12152,13
11846,12
6777,6
6119,14
18024,9
6232,15
5547,13
13221,7
8303,24
17029,11
5233,14
13964,11
9735,7
15331,0
10628,8
8132,25
5657,2
11125,0
6280,16
13631,2
9382,14
10560,9
9001,4
10624,10
10027,16
17312,2
15355,12
5272,15
8644,12
13490,5
9372,15
8439,26
8349,27
10587,11
8486,28
13284,8
13597,16
15645,5
10529,12
13841,13
13939,14
11948,14
17943,5
9699,8
15373,15
17593,9
7878,6
10809,0
13398,6
5658,5
10995,2
13899,16
7080,7
13326,9
9570,9
7149,8
6044,17
17597,10
11753,13
11093,14
15595,7
13462,7
15706,4
4962,1
7225,11
11883,14
11916,15
17886,6
15820,10
18186,10
16849,6
13388,10
6731,0
16909,12
7214,12
8529,5
10922,15
11737,16
8285,29
18372,11
18517,6
16750,4
9318,16
16796,5
7273,13
8957,1
16804,6
8893,11
6268,18
9872,10
13470,8
8562,6
18222,12
13444,9
11397,8
9727,11
11247,9
4926,0
15734,12
12082,15
5622,3
12206,3
5044,17
5171,13
9839,12
12034,16
17390,3
8594,7
10296,4
17677,11
15765,13
5017,2
8353,30
7223,14
18080,13
9953,17
10325,3
11070,16
5852,6
7102,9
15321,31
17132,7
13532,10
11886,17
16870,8
18324,14
5205,18
16820,9
7987,4
7049,10
10940,17
15851,5
13544,11
6071,19
10872,18
15396,14
8058,6
15423,15
15853,7
5325,19
6672,1
11130,1
17083,13
5134,20
11023,4
15229,32
16757,7
9296,17
4923,1
11345,10
9280,18
15375,17
11445,11
15211,33
9619,13
6269,20
11500,12
18290,15
8902,14
6261,21
13364,11
11054,5
11556,13
6824,11
11980,17
9241,19
10077,18
15419,16
6720,2
8570,8
5095,21
6098,22
17200,4
9451,4
13200,12
13913,18
6042,23
6978,12
16827,10
9228,20
16771,8
13762,19
17941,7
10403,3
19068,4
6278,24
10584,13
13905,20
6801,13
18132,16
5148,22
7073,14
12131,18
10622,14
9192,21
6927,15
9600,14
5385,23
17130,11
18272,17
13549,12
10146,19
13224,19
13886,21
11415,14
6722,3
16917,14
9391,22
7189,15
13537,13
15304,34
9595,15
10577,15
18158,18
18279,19
10294,5
17451,2
17901,8
10213,6
8113,8
17905,9
16900,12
5957,35
17684,12
17360,4
18380,20
10130,20
8109,9
10470,16
4897,2
12059,19
17342,5
18234,21
6110,25
15710,15
10099,21
18256,22
5389,24
11383,15
15344,22
17673,13
17405,6
7271,16
12099,20
18543,7
5063,25
11529,16
15473,17
7970,10
13441,14
15230,36
5665,4
6702,4
16960,15
6461,26
5083,26
8131,37
8438,38
9248,23
7084,16
11710,18
11839,19
10376,5
5411,27
22358,16
13567,23
17221,5
8499,39
7196,17
7993,11
11062,20
15669,8
16758,9
7267,18
13996,3
8500,40
9052,24
8447,41
5330,28
11035,6
17409,7
8630,18
16751,10
11730,20
5873,7
13213,21
17603,14
6238,27
8398,42
13455,15
6459,28
8727,19
17545,15
17303,8
8012,12
8288,43
13617,4
11992,21
5678,6
7384,19
9580,16
13270,13
9723,17
9151,25
8048,13
6262,29
17397,9
5679,7
15812,17
6083,30
5085,29
11493,17
9761,18
17782,16
7184,20
9728,19
11477,18
17162,13
18447,8
9098,26
17347,10
17452,3
5901,8
7354,21
6125,31
10199,7
15703,9
7173,17
6885,18
17768,17
6358,32
11533,19
17888,10
6386,33
10967,22
17106,14
17302,11
16950,16
6828,18
11666,21
16921,17
11182,3
13592,16
19094,30
5921,34
8898,19
15822,14
16790,11
5383,31
17933,11
6352,35
11452,20
17866,12
17620,18
17007,18
8258,44
7360,22
5311,32
10113,22
15199,45
13491,17
10876,23
6293,36
17566,19
5785,9
11530,21
6076,37
13350,14
11940,22
