zoneIndex,x,y,z,localID,ptype
2,11195.25,75808.47,498.76,logicGrid--arkan--ADZVZIICOTWBURIMOPJDAMMOHGYO--1679575663--BP_RuneAnimated_C /Game/ASophia/Maps/MainMapSubmaps/RainForest/RainforestPuzzles/Rainforest_PuzzleCubes.Rainforest_PuzzleCubes:PersistentLevel.BP_RuneAnimated444,logicGrid|completeThePattern|musicGrid|memoryGrid
2,28466.28,54539.61,12035.22,logicGrid--arkan--AIZXJDXZHZXPESDWOCRCCMKYNCQZ--1679575663--BP_RuneAnimated_C /Game/ASophia/Maps/MainMapSubmaps/RainForest/RainforestPuzzles/Rainforest_PuzzleCubes.Rainforest_PuzzleCubes:PersistentLevel.BP_RuneAnimated447,logicGrid|completeThePattern|musicGrid|memoryGrid
2,15490.97,66062.56,2202.74,logicGrid--arkan--BEKYVLWQBMBHRVXFBNRYZLAWZHQS--1679575663--BP_RuneAnimated_C /Game/ASophia/Maps/MainMapSubmaps/RainForest/RainforestPuzzles/Rainforest_PuzzleCubes.Rainforest_PuzzleCubes:PersistentLevel.BP_RuneAnimated443,logicGrid|completeThePattern|musicGrid|memoryGrid
2,36017.79,61482.67,2024.52,logicGrid--arkan--BXSCKEMVYQQSXYGHAELMQLRYTNFS--1679575663--BP_RuneAnimated_C /Game/ASophia/Maps/MainMapSubmaps/RainForest/RainforestPuzzles/Rainforest_PuzzleCubes.Rainforest_PuzzleCubes:PersistentLevel.BP_RuneAnimated426,logicGrid|completeThePattern|musicGrid|memoryGrid
2,57789.47,56483.6,15596,logicGrid--arkan--CRLMNZCLFASSTSNQJJOEGXRWTKRI--1679575663--BP_RuneAnimated_C /Game/ASophia/Maps/MainMapSubmaps/RainForest/RainforestPuzzles/Rainforest_PuzzleCubes.Rainforest_PuzzleCubes:PersistentLevel.BP_RuneAnimated450,logicGrid|completeThePattern|musicGrid|memoryGrid
2,41846.11,71499.34,3023.29,logicGrid--arkan--DRXXCPLXBUEXFOBHTKHFNLXJUWUB--1679575663--BP_RuneAnimated_C /Game/ASophia/Maps/MainMapSubmaps/RainForest/RainforestPuzzles/Rainforest_PuzzleCubes.Rainforest_PuzzleCubes:PersistentLevel.BP_RuneAnimated432,logicGrid|completeThePattern|musicGrid|memoryGrid
2,42544.67,68513.11,2353.27,logicGrid--arkan--EOQZADYDYYNQEGQVUIVNOYUYDUFY--1679575663--BP_RuneAnimated_C /Game/ASophia/Maps/MainMapSubmaps/RainForest/RainforestPuzzles/Rainforest_PuzzleCubes.Rainforest_PuzzleCubes:PersistentLevel.BP_RuneAnimated430,logicGrid|completeThePattern|musicGrid|memoryGrid
2,28621.62,46366.82,12831.61,logicGrid--arkan--FBFZCETBUOLPPMMSCFKHZFZWJOVM--1679575663--BP_RuneAnimated_C /Game/ASophia/Maps/MainMapSubmaps/RainForest/RainforestPuzzles/Rainforest_PuzzleCubes.Rainforest_PuzzleCubes:PersistentLevel.BP_RuneAnimated448,logicGrid|completeThePattern|musicGrid|memoryGrid
2,38806.45,62748.96,2037.28,logicGrid--arkan--FPWVWMMIUOZKFECTZRIGCRXEJBBG--1679575663--BP_RuneAnimated_C /Game/ASophia/Maps/MainMapSubmaps/RainForest/RainforestPuzzles/Rainforest_PuzzleCubes.Rainforest_PuzzleCubes:PersistentLevel.BP_RuneAnimated427,logicGrid|completeThePattern|musicGrid|memoryGrid
2,38105.48,58547.12,6207.61,logicGrid--arkan--GONGCFOFFQFICLGCFPJEBRQNPTVG--1679575663--BP_RuneAnimated_C /Game/ASophia/Maps/MainMapSubmaps/RainForest/RainforestPuzzles/Rainforest_PuzzleCubes.Rainforest_PuzzleCubes:PersistentLevel.BP_RuneAnimated439,logicGrid|completeThePattern|musicGrid|memoryGrid
2,42829.66,65629.79,2810.49,logicGrid--arkan--GWSPCLMEBPFLJLOJFEUVAIJSXYQI--1679575663--BP_RuneAnimated_C /Game/ASophia/Maps/MainMapSubmaps/RainForest/RainforestPuzzles/Rainforest_PuzzleCubes.Rainforest_PuzzleCubes:PersistentLevel.BP_RuneAnimated429,logicGrid|completeThePattern|musicGrid|memoryGrid
2,44412.36,41274.78,12619.22,logicGrid--arkan--IGUQRNBVNKORGYJLWGYDQSILXRNZ--1679575663--BP_RuneAnimated_C /Game/ASophia/Maps/MainMapSubmaps/RainForest/RainforestPuzzles/Rainforest_PuzzleCubes.Rainforest_PuzzleCubes:PersistentLevel.BP_RuneAnimated449,logicGrid|completeThePattern|musicGrid|memoryGrid
2,35204.7,66540.78,1920.14,logicGrid--arkan--ISNPXNVBSFHESCCBGJFKZNMVTTZZ--1679575663--BP_RuneAnimated_C /Game/ASophia/Maps/MainMapSubmaps/RainForest/RainforestPuzzles/Rainforest_PuzzleCubes.Rainforest_PuzzleCubes:PersistentLevel.BP_RuneAnimated424,logicGrid|completeThePattern|musicGrid|memoryGrid
2,39228.61,54279.62,7864.47,logicGrid--arkan--JKEKQZSKYAEEEZDYXYWYBZXRZPFO--1679575663--BP_RuneAnimated_C /Game/ASophia/Maps/MainMapSubmaps/RainForest/RainforestPuzzles/Rainforest_PuzzleCubes.Rainforest_PuzzleCubes:PersistentLevel.BP_RuneAnimated437,logicGrid|completeThePattern|musicGrid|memoryGrid
2,40322.8,51567.68,10301.52,logicGrid--arkan--MWFNFLNXSWCMGCPACCIBXQJAOYHC--1679575663--BP_RuneAnimated_C /Game/ASophia/Maps/MainMapSubmaps/RainForest/RainforestPuzzles/Rainforest_PuzzleCubes.Rainforest_PuzzleCubes:PersistentLevel.BP_RuneAnimated435,logicGrid|completeThePattern|musicGrid|memoryGrid
2,32295.95,68785.12,2809.51,logicGrid--arkan--OISPJELYTFHHTBKVPLLATDOLKPLB--1679575663--BP_RuneAnimated_C /Game/ASophia/Maps/MainMapSubmaps/RainForest/RainforestPuzzles/Rainforest_PuzzleCubes.Rainforest_PuzzleCubes:PersistentLevel.BP_RuneAnimated434,logicGrid|completeThePattern|musicGrid|memoryGrid
2,37676.91,64013.71,3319.73,logicGrid--arkan--PIUIFRGKTINSPMWXHNSPRARDEIBE--1679575663--BP_RuneAnimated_C /Game/ASophia/Maps/MainMapSubmaps/RainForest/RainforestPuzzles/Rainforest_PuzzleCubes.Rainforest_PuzzleCubes:PersistentLevel.BP_RuneAnimated433,logicGrid|completeThePattern|musicGrid|memoryGrid
2,41496.89,63939.22,2303.16,logicGrid--arkan--QXWTMGLJBGECZTUENUKTNXZANGYY--1679575663--BP_RuneAnimated_C /Game/ASophia/Maps/MainMapSubmaps/RainForest/RainforestPuzzles/Rainforest_PuzzleCubes.Rainforest_PuzzleCubes:PersistentLevel.BP_RuneAnimated428,logicGrid|completeThePattern|musicGrid|memoryGrid
2,37610.64,54993.16,6348.87,logicGrid--arkan--VSAIRFNKYTPIRJUPPHMRTWRICKIH--1679575663--BP_RuneAnimated_C /Game/ASophia/Maps/MainMapSubmaps/RainForest/RainforestPuzzles/Rainforest_PuzzleCubes.Rainforest_PuzzleCubes:PersistentLevel.BP_RuneAnimated438,logicGrid|completeThePattern|musicGrid|memoryGrid
2,36356.18,52760.01,9347.11,logicGrid--jbard--AFQNTFVBATXVAKYDRXKGFXDZEVKG--1677606424--BP_RuneAnimated_C /Game/ASophia/Maps/MainMapSubmaps/RainForest/RainforestPuzzles/Rainforest_PuzzleCubes.Rainforest_PuzzleCubes:PersistentLevel.BP_RuneAnimated436,logicGrid|completeThePattern|musicGrid|memoryGrid
