localID,pid,fields,dx,dy,dz,dpitch,dyaw,droll,msx,msy,msz,datetime,comment
matchboxCamphorA,25263,Mesh2Transform,1447,474,-784,0,1,0,1,1,1,2025-04-10_02-22-51,
matchboxCamphorA,25263,Mesh1Transform,-1349,961,-783,0,-8,0,1,1,1,2025-04-10_05-59-10,
matchboxCamphorD,25266,Mesh2Transform,1659,-5850,-465,0,0,0,2.6,1.56,2.6,2025-04-10_07-03-42,
matchboxCamphorD,25266,Mesh1Transform,1656,-6665,-464,0,0,0,2.6,1.56,2.6,2025-04-10_07-03-49,
matchboxCamphorE,25267,Mesh2Transform,1577,-6511,-289,0,13,0,0.9,0.9,0.9,2025-04-10_07-34-11,
matchboxCamphorE,25267,Mesh1Transform,1586,-6414,-518,0,-16,0,0.9,0.9,0.9,2025-04-10_07-47-55,
matchboxCamphorF,25268,Mesh2Transform,2993,-6074,-190,0,0,0,1,1,1,2025-04-10_20-09-37,
matchboxCamphorF,25268,Mesh1Transform,1245,-6019,-301,0,0,0,1,1,1,2025-04-10_20-14-45,
matchboxCamphorG,25269,Mesh2Transform,23,-15,686,0,0,-36,1.4,1.4,1.4,2025-04-10_21-10-22,
BP_RuneAnimated_C WrapLR_pid755,-1,ActorTransform,10571,29730,18705,0,0,0,1,1,1,2025-04-13_11-15-06,
BP_RuneAnimated_C WrapLR_pid501,-1,ActorTransform,14741,28375,18705,0,0,0,1,1,1,2025-04-13_11-15-42,
BP_RuneAnimated_C WrapLR_pid272,-1,ActorTransform,14756,34040,18705,0,0,0,1,1,1,2025-04-13_11-15-54,
BP_RuneAnimated_C WrapLR_pid15158,-1,ActorTransform,16081,32355,18705,0,0,0,1,1,1,2025-04-13_11-15-58,
BP_RuneAnimated_C WrapLR_pid271,-1,ActorTransform,12096,28625,18705,0,0,0,1,1,1,2025-04-13_11-16-08,
racingRingCourseCamphorB,25291,OriginalTransform,1337.00,-8476.00,-309.00,0.00,0.00,-90.00,1,1,1,2025-04-18_14-58-49,
BP_RuneAnimated_C WrapFour_pid879,-1,ActorTransform,13518,30146,19897,0,0,0,1,1,1,2025-04-18_15-39-40,
racingRingCourseCamphorB,25291,DuplicateTransform-12,794.00,-6347.00,-38.00,0.00,0.00,90.00,1,1,1,2025-04-19_12-39-50,
racingRingCourseCamphorB,25291,DuplicateTransform-13,1081.00,-7083.00,-88.00,0.00,10.00,90.00,1,1,1,2025-04-19_12-40-52,
racingRingCourseCamphorB,25291,DuplicateTransform-3,1330,-7770,1120,0,0,100,1,1,1,2025-04-19_12-43-09,
racingRingCourseCamphorC,25292,StartingPlatformTransform,2322,-6752,448,0,45,2,1,1,1,2025-04-19_12-52-54,
racingRingCourseCamphorB,25291,DuplicateTransform-15,3670,-5794,-236,-20,0,0,1,1,1,2025-04-19_13-20-42,
racingRingCourseCamphorB,25291,DuplicateTransform-8,3890,-5790,840,0,90,140,1,1,1,2025-04-19_13-21-03,
racingRingCourseCamphorB,25291,DuplicateTransform-2,1350,-2610,-380,0,0,90,1,1,1,2025-04-19_13-22-16,
racingRingCourseCamphorB,25291,DuplicateTransform-4,1050,-6720,940,0,30,90,1,1,1,2025-04-19_13-22-49,
racingRingCourseCamphorB,25291,DuplicateTransform-5,180,-6060,840,0,60,100,1,1,1,2025-04-19_13-23-07,
racingRingCourseCamphorB,25291,DuplicateTransform-7,-1420,-5800,-390,0,90,90,1,1,1,2025-04-19_13-23-18,
racingRingCourseCamphorB,25291,DuplicateTransform-6,-820,-5800,240,20,0,0,1,1,1,2025-04-19_13-23-50,
matchboxCamphorB,25264,Mesh1Transform,4537,-4490,551,0,0,0,2.4,2.4,2.4,2025-04-19_15-27-02,
racingRingCourseCamphorA,25290,StartingPlatformTransform,4543,-4487,696,0,-270,0,0.8,0.8,0.8,2025-04-19_15-30-09,
matchboxCamphorB,25264,Mesh2Transform,1696,2663,-586,0,0,0,2.6,2.6,2.6,2025-04-19_15-35-06,
matchboxCamphorG,25269,Mesh1Transform,4811,-7126,375,0,0,0,1.4,1.4,1.4,2025-04-19_15-38-03,
BP_RuneAnimated_C WrapLR_pid270,-1,ActorTransform,10618,32365,18705,0,0,0,1,1,1,2025-04-19_15-40-11,
racingRingCourseCamphorA,25290,DuplicateTransform-2,1171,2576,-563,10,110,-90,0.8,0.8,0.8,2025-04-19_15-44-24,
racingRingCourseCamphorA,25290,DuplicateTransform-0,50,-4531,605,-70,35,-85,0.8,0.8,0.8,2025-04-19_17-46-29,
racingRingCourseCamphorA,25290,OriginalTransform,3556,-4472,989,-90,0,0,0.72,0.72,0.72,2025-04-20_12-00-24,
racingRingCourseCamphorA,25290,DuplicateTransform-5,2057,-4840,903,0,-80,90,0.8,0.8,0.8,2025-04-20_12-00-29,
racingRingCourseCamphorA,25290,DuplicateTransform-4,1158,-4948,784,0,-80,90,0.8,0.8,0.8,2025-04-20_12-00-42,
racingRingCourseCamphorA,25290,DuplicateTransform-3,463,-4928,693,0,-130,90,0.8,0.8,0.8,2025-04-20_12-00-47,
racingRingCourseCamphorB,25291,DuplicateTransform-9,3110,-5790,-515,0,-90,90,1,1,1,2025-04-20_12-03-05,
racingRingCourseCamphorC,25292,DuplicateTransform-1,2372,-6908,1293,0,-55,-70,0.85,0.8,0.85,2025-04-20_14-44-02,
racingRingCourseCamphorC,25292,DuplicateTransform-2,2514,-6752,1293,0,-35,70,0.85,0.8,0.85,2025-04-20_14-44-22,
racingRingCourseCamphorC,25292,DuplicateTransform-0,2358,-4643,1293,0,55,70,0.85,0.8,0.85,2025-04-20_14-46-31,
