localID,pid,fields,dx,dy,dz,dpitch,dyaw,droll,msx,msy,msz,datetime,comment
BP_RuneAnimated_C Liar_pid2030,-1,ActorTransform,-1060,73420,8630,0,0,0,1,1,1,,
BP_RuneAnimated_C Liar_pid2033,-1,ActorTransform,-490,72570,8560,0,0,0,1,1,1,,
BP_RuneAnimated_C Liar_pid2034,-1,ActorTransform,570,72630,8410,0,0,0,1,1,1,,
BP_RuneAnimated_C Liar_pid2035,-1,ActorTransform,-246,73490,8530,0,0,0,1,1,1,,
BP_RuneAnimated_C Liar_pid2036,-1,ActorTransform,-1170,71770,8810,0,0,0,1,1,1,,
BP_RuneAnimated_C Liar_pid2038,-1,ActorTransform,-1180,74420,8800,0,0,0,1,1,1,,
BP_RuneAnimated_C Liar_pid2040,-1,ActorTransform,-1320,72880,8620,0,0,0,1,1,1,,
BP_RuneAnimated_C Liar_pid2046,-1,ActorTransform,-90,72870,8470,0,0,0,1,1,1,,
BP_RuneAnimated_C Liar_pid2049,-1,ActorTransform,-1380,75770,8940,0,0,0,1,1,1,,
BP_RuneAnimated_C Liar_pid2190,-1,ActorTransform,-1870,74050,8950,0,0,0,1,1,1,,
BP_RuneAnimated_C Liar_pid2196,-1,ActorTransform,-2010,76080,9880,0,0,0,1,1,1,,
BP_RuneAnimated_C Liar_pid2542,-1,ActorTransform,-560,75240,8560,0,0,0,1,1,1,,
BP_RuneAnimated_C Liar_pid3030,-1,ActorTransform,-480,71440,9540,0,0,0,1,1,1,,
BP_RuneAnimated_C Liar_pid16484,-1,ActorTransform,510,74590,8410,0,0,0,1,1,1,,
BP_RuneAnimated_C Liar_pid16691,-1,ActorTransform,180,71540,8500,0,0,0,1,1,1,2025-05-03_12-21-47,
BP_RuneAnimated_C Liar_pid16483,-1,ActorTransform,400,70640,10470,0,0,0,1,1,1,2025-05-03_12-26-24,
BP_RuneAnimated_C Liar_pid3032,-1,ActorTransform,-2059,75668,11150,0,0,0,1,1,1,2025-05-03_12-27-27,
BP_RuneAnimated_C Liar_pid2719,-1,ActorTransform,-2140,71630,9470,0,0,0,1,1,1,2025-05-03_12-28-44,
BP_RuneAnimated_C Liar_pid2045,-1,ActorTransform,-2219,73434,9729,0,0,0,1,1,1,2025-05-03_12-28-58,
BP_RuneAnimated_C Liar_pid3029,-1,ActorTransform,-1650,76880,10870,0,0,0,1,1,1,2025-05-03_12-29-23,
BP_RuneAnimated_C Liar_pid3031,-1,ActorTransform,-2377,74482,9892,0,0,0,1,1,1,2025-05-03_12-59-59,
BP_RuneAnimated_C Liar_pid244,-1,ActorTransform,-318,71138,10933,0,0,0,1,1,1,2025-05-03_15-15-42,
