pid	difficulty	solvePath	pdata	status	zone
					
					
2026	1	0:0, 0:1, 2:1, 2:0		tutorialA	
2386	1	1:0, 1:2		tutorialA	
2385	1	0:2, 2:1, 0:0, 0:4		tutorialA	
2350	2	1:5, 2:4, 3:5, 0:0, 1:1, 2:0, 2:1, 3:0, 4:1, 3:2, 4:0, 5:0, 0:1, 0:2, 1:2, 2:2, 0:3, 0:4, 1:4, 2:3, 3:3, 4:2, 5:2, 5:3, 4:3, 3:4, 4:4, 4:5, 5:5		tutorialA	
2044	1	1:0, 0:1, 2:0, 1:1, 0:2, 3:0, 2:1, 1:2, 0:3, 3:1, 2:2, 1:3, 3:2, 2:3, 3:3	AAELAAQEAAQAAQACEAAAAQECAgMDBAQFBQYGBwcICAkJCgoLCwwMDQ0ODg8PREMBWloAAA8=	tutorialA	
2037	1	0:0, 1:0, 2:0, 3:0, 1:2, 2:2, 2:3		tutorialA	
2043	2	1:1, 1:0, 0:1, 2:0, 3:0, 3:1, 4:1, 4:0		tutorialA	
2384	2	0:1, 1:2, 1:1, 1:0, 2:1, 3:2, 4:2, 3:1, 3:0, 4:0, 4:1		tutorialA	
					
					
2027	1	0:0, 2:0, 0:2, 1:2, 2:2		tutorialB	
2039	1	0:1, 1:0, 3:0, 2:1, 1:2, 0:2, 1:3, 2:2, 3:3, 3:1		tutorialB	
2028	1	1:1, 0:0, 2:0		tutorialB	
2292	2	2:1, 1:2, 0:1, 1:0, 0:0		tutorialB	
2042	1	0:2, 1:2, 2:1, 2:0, 1:0, 0:1, 1:1		tutorialB	
2029	2	2:0, 3:1, 0:1, 1:2, 1:0, 0:0, 2:2, 3:2		tutorialB	
2041	1	0:0, 1:1, 2:0, 0:2, 1:2, 2:1		tutorialB	
2200	1	8:1, 8:2		tutorialB	
					
					
					
					
2033	2	1:1, 3:0, 4:1, 0:2, 2:2, 1:4, 3:5, 4:5, 5:3, 3:3, 3:2	AAELAAYGAQADLT9RCQAMBAULDRAREhMUGB4fAQ0AAQIGCAkWGhscHSAjAgQQBB8DIQEiAgUCLT8DBQAEAQMCAhsGHAUHBAcNDwIVARkHBAMSBwMYCAMeCQMGAVEAQAICAlUCAgAB4uoCfJAAAA8=	dungeon	
2035	2	1:4, 0:3, 2:3, 1:2, 3:2, 2:1, 4:1, 3:0, 4:3, 0:0, 1:1, 0:2, 2:0, 3:4		dungeon	
2040	2	1:0, 0:2, 2:0, 1:1, 1:3, 1:2, 2:3, 2:2, 2:1, 3:0, 3:1, 3:2, 3:3	AAELAAQEAAUAAQQBAgAMAhAAAAEAAgEDAQQGBQAGAQcACAAJAQoACwAMAQ0ADgEPAEJBAfEfAAAP	dungeon	
2036	3	1:0, 1:2, 2:0, 3:1, 3:2, 2:2, 1:1, 0:1		dungeon	
2030	3	2:0, 1:1, 0:1, 3:1, 2:2, 1:2, 0:3, 2:3, 3:3, 4:2, 3:2, 3:0, 4:1		dungeon	
2046	2	2:2, 1:2, 3:1, 3:0, 1:1, 1:0, 0:1, 2:0, 2:1	AAELAAMEAQEBCAUAAgALAgEABQMBCwVIAkMBRAAAAAE=	dungeon	
