pid	difficulty	solvePath	pdata	status	zone
11	6	3:7, 0:7, 1:2, 1:1, 4:2, 4:1, 5:2, 5:1, 8:2, 8:1, 6:4, 6:3, 7:0, 1:0, 1:6, 1:3, 4:0, 4:5, 4:6, 2:8, 0:0, 0:3, 5:0, 0:4, 2:5, 3:5, 2:6, 1:8, 3:8, 0:6, 5:8, 5:7, 5:3, 3:4, 8:0, 5:5, 8:5, 5:4, 3:3, 2:0, 2:4, 0:5, 2:3, 3:0, 6:0, 7:3, 8:3, 7:4, 6:6, 8:6, 6:7, 8:7, 7:8, 6:8, 8:8, 5:6, 8:4, 3:6, 0:8		dungeon	lostgridsLogic
25	5	3:5, 3:4, 4:5, 2:5, 1:5, 2:4, 2:6, 4:6, 5:5, 4:7, 3:7, 2:7, 1:7, 2:8, 3:8, 4:8, 5:7, 5:4, 6:4, 3:3, 4:3, 5:3, 6:3, 4:2, 6:2, 7:3, 6:1, 5:1, 4:1, 3:1, 4:0, 5:0, 6:0, 7:1, 7:2, 3:2, 2:2, 8:2, 7:4, 8:3, 8:4, 8:1, 7:0, 8:0, 7:5, 5:6, 1:6, 0:6, 6:6, 6:5, 7:6, 6:7, 8:5, 8:6, 7:7, 6:8, 5:8, 2:3, 1:3, 1:4, 1:2, 2:1, 1:1, 2:0, 3:0, 0:1, 0:2, 0:0, 1:0, 0:3, 0:4, 0:5, 0:7, 0:8, 1:8, 7:8, 8:8, 8:7		dungeon	lostgridsLogic
31	5	1:4, 0:5, 1:6, 2:5, 0:4, 1:3, 0:2, 0:1, 2:2, 1:1, 3:1, 2:0, 1:0, 3:2, 2:3, 3:3, 2:4, 3:6, 2:7, 0:6, 3:5, 3:4, 1:7, 0:7, 3:8, 3:9, 4:7, 5:7, 6:7, 7:7, 5:8, 6:8, 8:8, 7:9, 8:9, 9:9, 9:8, 9:7, 5:9, 4:9, 7:6, 8:6, 8:5, 7:4, 8:3, 9:4, 9:5, 9:3, 7:5, 6:6, 6:5, 6:4, 6:3, 5:4, 5:3, 7:2, 5:6, 4:5, 4:6, 4:3, 1:9, 2:9, 2:8, 1:8, 0:8, 5:0, 4:1, 4:0, 0:0, 4:2, 5:2, 6:1, 6:0, 8:2, 7:1, 8:1, 8:0, 9:1, 7:0, 9:2	AAAACgoABAAKAwkVGiwwM0lOYAEKDA8eJTc+RVRXWgIKAwYJBAwCFQQeAkUNTgdXDFoGYAYDCjMBPgRJDFQGLAU3Aw8CGgMlBTAEAYoZaU5vZWkWdAXvugA=	dungeon	lostgridsLogic
36	4	3:1, 3:5, 1:1, 5:1, 4:5, 2:5, 5:4, 6:5, 5:6, 1:2, 0:1, 1:0, 1:6, 0:5, 1:4, 5:2, 6:1, 5:0, 2:2, 2:3, 2:4, 2:0, 0:0, 0:2, 6:6, 6:4, 4:6, 4:4, 4:3, 4:2, 4:0, 3:0, 3:6, 3:2, 3:4, 2:6, 0:6, 0:4, 6:2, 6:0, 6:3, 5:3, 1:3, 0:3		dungeon	lostgridsLogic
58	5	2:4, 4:7, 5:6, 3:3, 6:7, 7:5, 6:5, 4:4, 3:5, 4:5, 3:6, 2:5, 1:5, 2:6, 2:7, 1:7, 4:6, 5:4, 6:4, 5:3, 7:6, 1:3, 2:3, 0:3, 0:2, 0:4, 0:5, 0:6, 1:6, 0:7, 0:1, 1:2, 2:2, 3:1, 3:0, 2:0, 4:0, 2:1, 1:0, 0:0, 4:2, 5:2, 5:1, 6:0, 6:6, 7:7, 7:3, 6:3, 7:2, 7:1, 6:1, 7:0, 4:1, 4:3, 6:2, 7:4		dungeon	lostgridsLogic
136	6	10:8, 11:8, 12:8, 10:9, 12:9, 10:10, 11:10, 12:10, 10:11, 12:11, 10:12, 12:12, 11:12, 11:13, 11:9, 10:2, 11:2, 12:2, 10:3, 12:3, 10:4, 11:4, 12:4, 10:5, 10:6, 12:1, 11:1, 10:1, 13:2, 11:5, 13:3, 9:3, 8:1, 7:1, 6:1, 5:1, 9:2, 6:2, 7:2, 8:2, 6:3, 8:3, 6:4, 8:4, 6:5, 8:5, 6:6, 7:6, 8:6, 7:3, 7:4, 7:5, 2:2, 3:2, 4:2, 2:3, 2:4, 3:4, 4:4, 4:5, 2:6, 3:6, 4:6, 1:2, 1:3, 3:5, 2:5, 1:5, 5:2, 9:7, 2:1, 3:1, 4:3, 5:3, 5:5, 1:4, 1:6, 5:7, 4:1, 2:8, 4:8, 2:9, 4:9, 2:10, 3:10, 4:10, 2:11, 4:11, 2:12, 4:12, 1:11, 3:9, 3:12, 5:11, 2:13, 6:7, 3:13, 3:8, 3:7, 4:7, 1:7, 1:8, 1:10, 1:12, 6:8, 7:8, 8:8, 7:9, 7:10, 7:11, 6:12, 7:12, 8:12, 8:7, 7:13, 10:7, 9:6, 6:9, 6:10, 6:11, 5:9, 5:8, 5:12, 4:13, 6:13, 12:13, 10:13, 9:13, 9:9, 9:11, 8:9, 8:10, 8:11, 9:5, 13:6, 13:7, 13:8, 11:7, 11:6, 12:6, 12:5, 13:4, 13:9, 13:10, 13:12, 13:11, 8:13, 9:12		dungeon	lostgridsLogic
154	6	5:0, 5:1, 4:1, 5:2, 6:1, 5:8, 5:7, 4:7, 5:6, 6:7, 8:1, 8:2, 9:2, 9:3, 7:2, 8:3, 9:1, 10:2, 8:4, 7:4, 8:5, 9:4, 9:0, 8:0, 10:0, 10:3, 10:4, 0:7, 0:6, 0:5, 8:6, 9:6, 8:7, 7:7, 7:6, 7:8, 10:5, 9:8, 10:8, 10:7, 10:6, 9:5, 6:6, 7:5, 6:5, 5:5, 6:4, 4:6, 7:0, 5:4, 4:3, 6:3, 6:2, 7:1, 5:3, 4:4, 3:4, 4:5, 3:3, 2:2, 4:2, 1:2, 2:3, 2:4, 1:5, 2:7, 1:3, 0:3, 0:4, 1:4, 1:1, 0:1, 1:0, 2:1, 0:0, 2:0, 3:0, 3:1, 3:2, 2:5, 2:6, 1:7, 1:8, 0:8, 2:8, 3:6, 3:7, 3:8		dungeon	lostgridsLogic
155	8	0:0, 8:0, 8:8, 2:6, 0:8, 2:0, 1:2, 2:2, 3:0, 0:2, 1:3, 2:3, 1:1, 0:1, 0:3, 6:4, 6:2, 6:3, 5:3, 7:3, 5:0, 7:6, 8:7, 8:6, 8:5, 6:6, 4:3, 6:8, 6:7, 7:7, 7:5, 8:4, 5:8, 3:8, 5:7, 7:2, 4:0, 7:0, 7:1, 8:1, 8:2, 8:3, 5:4, 4:5, 4:4, 4:8, 2:4, 3:3, 4:2, 5:2, 6:1, 3:4, 3:5, 5:6, 4:7, 4:6, 3:6, 7:8, 5:5, 6:5, 7:4, 3:7, 2:7, 1:7, 0:7, 0:6, 2:5, 1:4, 1:5, 0:4, 0:5, 1:6, 1:8, 2:8, 3:2, 2:1, 3:1, 4:1, 5:1, 6:0, 1:0		dungeon	lostgridsLogic
156	8	4:2, 5:1, 5:3, 6:2, 3:2, 5:4, 7:2, 5:0, 7:4, 7:6, 7:8, 6:3, 4:1, 2:1, 2:3, 2:5, 4:5, 2:7, 6:7, 2:9, 4:9, 3:4, 3:6, 3:8, 3:1, 3:3, 4:4, 3:5, 3:7, 1:5, 5:5, 4:3, 4:7, 4:8, 5:7, 4:6, 4:0, 3:0, 2:0, 1:0, 2:2, 1:1, 1:3, 0:2, 0:4, 0:5, 0:1, 0:0, 1:2, 1:4, 2:4, 2:6, 5:6, 3:9, 1:9, 5:9, 5:8, 2:8, 0:7, 0:8, 1:8, 0:6, 1:6, 1:7, 0:9, 7:0, 7:1, 6:0, 6:1, 8:0, 8:1, 9:1, 9:0, 9:2, 8:2, 7:3, 7:5, 7:9, 6:9, 8:9, 6:8, 9:9, 6:6, 8:8, 7:7, 8:3, 9:3, 9:4, 9:5, 8:4, 8:5, 8:6, 8:7, 9:7, 9:8, 6:5, 6:4		dungeon	lostgridsLogic
157	6	1:6, 0:7, 2:7, 1:8, 7:3, 6:4, 8:4, 7:5, 2:2, 3:3, 5:5, 6:6, 5:7, 4:6, 2:4, 1:3, 3:1, 4:2, 5:3, 3:5, 0:5, 1:2, 2:3, 6:5, 7:6, 8:5, 0:3, 1:5, 0:4, 2:5, 0:6, 4:5, 5:6, 6:7, 3:6, 3:8, 3:7, 2:8, 4:8, 5:8, 2:6, 0:8, 6:8, 7:8, 8:8, 8:7, 8:6, 3:4, 5:4, 4:3, 3:2, 2:1, 1:0, 0:1, 0:2, 0:0, 2:0, 3:0, 4:0, 5:0, 5:1, 5:2, 6:0, 6:1, 6:2, 6:3, 7:0, 7:2, 8:2, 8:1, 8:0, 8:3		dungeon	lostgridsLogic
