pid	difficulty	solvePath	pdata	status	zone
18927	2	apparently ignored by the game - needs testing	AAIEBUYCBQxYeWxvcGhvbmVfZzUMWHlsb3Bob25lX2Y1DFh5bG9waG9uZV9lNQxYeWxvcGhvbmVfZDUMWHlsb3Bob25lX2M1BQAFCwAAAQBCBCAgiigA	dungeon	lostgridsMusic
18939	2	apparently ignored by the game - needs testing	AAIEBW4CBgxYeWxvcGhvbmVfYTUMWHlsb3Bob25lX2c1DFh5bG9waG9uZV9mNQxYeWxvcGhvbmVfZTUMWHlsb3Bob25lX2Q1DFh5bG9waG9uZV9jNQUABg8AAAEMAGQAAwABgADYAEAA	dungeon	lostgridsMusic
18942	3	apparently ignored by the game - needs testing	AAIEBYEMAgYMWHlsb3Bob25lX2E1DFh5bG9waG9uZV9nNQxYeWxvcGhvbmVfZjUMWHlsb3Bob25lX2U1DFh5bG9waG9uZV9kNQxYeWxvcGhvbmVfYzUFAAYNAAABAIAIIoIAAAAKAAA=	dungeon	lostgridsMusic
18992	3	apparently ignored by the game - needs testing	AAIEBW4EBgxYeWxvcGhvbmVfYjQMWHlsb3Bob25lX2E0DFh5bG9waG9uZV9nNBFYeWxvcGhvbmVfZnNoYXJwNAxYeWxvcGhvbmVfZTQMWHlsb3Bob25lX2Q0BQAGFgAAAQBAAAAgICghBQBJoQAAAAEAAA==	dungeon	lostgridsMusic
19001	4	apparently ignored by the game - needs testing	AAIEBYEgAgsMWHlsb3Bob25lX2c1EVh5bG9waG9uZV9mc2hhcnA1DFh5bG9waG9uZV9lNQxYeWxvcGhvbmVfZDUMWHlsb3Bob25lX2M1DFh5bG9waG9uZV9iNAxYeWxvcGhvbmVfYTQMWHlsb3Bob25lX2c0EVh5bG9waG9uZV9mc2hhcnA0DFh5bG9waG9uZV9lNAxYeWxvcGhvbmVfZDQFAAsPAAABgCCAIKAgggAAABAAAhAQCAMBAAgAAA==	dungeon	lostgridsMusic
19027	4	apparently ignored by the game - needs testing	AAIEBU0CBQxYeWxvcGhvbmVfZTUMWHlsb3Bob25lX2M1DFh5bG9waG9uZV9nNAxYeWxvcGhvbmVfZTQMWHlsb3Bob25lX2M0BQAFCAAAAQgaU8GAAA==	dungeon	lostgridsMusic
19036	6	apparently ignored by the game - needs testing	AAIEBXgBCwx4eWxvcGhvbmVfZzUMeHlsb3Bob25lX2U1DHh5bG9waG9uZV9kNQx4eWxvcGhvbmVfYzUMeHlsb3Bob25lX2I0DHh5bG9waG9uZV9hNAx4eWxvcGhvbmVfZzQReHlsb3Bob25lX2ZzaGFycDQMeHlsb3Bob25lX2Y0BVNuYXJlBEtpY2sFAAsJAAABCBIEiCgABCABgBGmIAA=	dungeon	lostgridsMusic
19037	2	apparently ignored by the game - needs testing	AAMBBAVGAwgMeHlsb3Bob25lX2E1EXh5bG9waG9uZV9nc2hhcnA1EXh5bG9waG9uZV9mc2hhcnA1DHh5bG9waG9uZV9lNQx4eWxvcGhvbmVfZDUReHlsb3Bob25lX2NzaGFycDUMeHlsb3Bob25lX2I0DHh5bG9waG9uZV9hNAUACA0AAAEAEIBCCEgABCEAAhAgAAA=	dungeon	lostgridsMusic
19840	7	apparently ignored by the game - needs testing		dungeon	lostgridsMusic
					
					
					
18932			AAIEBWQCBQxYeWxvcGhvbmVfZzUMWHlsb3Bob25lX2Y1DFh5bG9waG9uZV9lNQxYeWxvcGhvbmVfZDUMWHlsb3Bob25lX2M1BQAFCwAAAQAn6AIADAAA		
18977			AAIEBYEcAgUMWHlsb3Bob25lX2I0DFh5bG9waG9uZV9hNAxYeWxvcGhvbmVfZzQRWHlsb3Bob25lX2ZzaGFycDQMWHlsb3Bob25lX2U0BQAFEAAAASAgBAwKEgEB0MAA		
18973		apparently ignored by the game - needs testing	AAIEBYEEBAsMWHlsb3Bob25lX2c1EVh5bG9waG9uZV9mc2hhcnA1DFh5bG9waG9uZV9lNQxYeWxvcGhvbmVfZDUMWHlsb3Bob25lX2M1DFh5bG9waG9uZV9iNAxYeWxvcGhvbmVfYTQMWHlsb3Bob25lX2c0EVh5bG9waG9uZV9mc2hhcnA0DFh5bG9waG9uZV9lNAxYeWxvcGhvbmVfZDQFAAsYAAABAAEAAAAgAAAAABgEAAAAJIAAAASSSSAAAAJJkkAAAAAAAA==		
					
					
					
4246					
4536					
4539					
4540					
4546					
					
					
					
18825					
18923					
18933					
18934					
18935					
18936					
18937					
18938					
18940					
18941					
18974					
18975					
18976					
18978					
18979					
18980					
18981					
18982					
18983					
18984					
18985					
18986					
18987					
18988					
18989					
18990					
18991					
18993					
18994					
18995					
18996					
18997					
18998					
18999					
19006					
19008					
19009					
19012					
19035					
19039					
19041					
19042					
19043					
19044					
19045					
19046					
19047					
19048					
19049					
19051					
