pid	difficulty	solvePath	pdata	status	zone
					
					
306	2	apparently ignored by the game - needs testing	AAECAAoKAAIAIQQFBgcREhQcHR4kJyguMTI7PD9AQUVGR0pLT1FSXF1eXwElAAgJCg4PEBMYGRobIiMlJiwtLzA2Nzg5Oj0+SElQU1RVWVpbYwHA55Pxtm2f5hjMnnAwAA==	dungeon	lostgridsPattern
830	4	apparently ignored by the game - needs testing		dungeon	lostgridsPattern
836	3	apparently ignored by the game - needs testing		dungeon	lostgridsPattern
1299	3	apparently ignored by the game - needs testing		dungeon	lostgridsPattern
3254	4	apparently ignored by the game - needs testing		dungeon	lostgridsPattern
3264	3	apparently ignored by the game - needs testing		dungeon	lostgridsPattern
3265	6	apparently ignored by the game - needs testing	AAECAAsPAAIAcwABAgMEBQYHCAkLDA0PEBESExQVFhcYGhscHh8gISIjJCUmJykqKy0uLzAxMjM0NTY4OTo8PT4/QEFDRUdISUtMTU5PUFFSVFZXWFpbXF1eX2BhY2VnaWpsbW9wcnR2eHl6e35/gQOBBYEJgQqBDYEOgRKBFIEYgRmBHIEdgSGBIwEcQkRTYmZrbnF1fH2BAIEBgQSBB4EIgQuBDIEPgRCBE4EWgReBGoEbgR6BH4EiAQAAAEAAAAAAKAAQACKSRAzJmZMzIAAA	dungeon	lostgridsPattern
3646	2	apparently ignored by the game - needs testing	AAECAA4PAAIAIAABAgMEBQYHCAkKDxEUGB4fICEiIyQlJicogTGBM4FCgU+BUIFRAQoQEhMVFhcZgTKBQIFBAQAAt3gAA/6gAUt6lBUqKlfQoCl90gAl/cAAAAAA	dungeon	lostgridsPattern
3652	1	apparently ignored by the game - needs testing		dungeon	lostgridsPattern
3676	4	apparently ignored by the game - needs testing		dungeon	lostgridsPattern
3679	2	apparently ignored by the game - needs testing	AAECAAUPAQEjAAIDBAYHCAoLDA4PEBESExQVFhcYGRobHB0hJSkwNDg/Q0cEABEBBQkNIyotLjEyNjc6PkJGSQELHh8iKDM1Oz1ERUgFAToGAiICKgABAAAAA6CIFFSMgAAA	dungeon	lostgridsPattern
3721	1	apparently ignored by the game - needs testing		dungeon	lostgridsPattern
3730	4	apparently ignored by the game - needs testing	AAECAAcXAQEHCyI5UGd+gRUCAFsAAQIDBAUGBwgJCgwNDg8QERITFBUWFxgbICElJigpKisuMDEzNDY4Ojw9P0BCREVGSElLTk9TVlhZXF1eYGFkZWZoaWpsbXBxcnN2eXt8fYEKgQuBDIENgQ6BD4EQgRGBEoETgRQBKRkaHB0eHyMkJywtLzI1Nzs+QUNHSkxNUVJUVVdaW19iY2tub3R1d3h6AQAAAG8ZDSUSUSxtMTATDaElwAAAAAAA	dungeon	lostgridsPattern
3731	4	apparently ignored by the game - needs testing		dungeon	lostgridsPattern
3746	3	apparently ignored by the game - needs testing	AAECAAUXAQEPBQsRHCIoMzk/SlBWYWdtAgAsAggODxAXGR0fIyUmJy8xMjQ1Nzg6Oz0+R0hJS0xNTk9RUlNUVV5iY2RoaWoBHwABAwQGBwkKDA0YGhseICEkLjA2PEVGXF1fYGVma2wB22wAssgCgggmAAANhhhgAAA=	dungeon	lostgridsPattern
3767	3	apparently ignored by the game - needs testing		dungeon	lostgridsPattern
