zoneIndex,flags,x,y,z,pitch,yaw,roll
2,0,11195.25,75808.47,518.76,0,0,0
2,0,28466.28,54539.61,12055.22,0,0,0
2,0,15490.97,66062.56,2222.74,0,0,0
2,0,36017.79,61482.67,2044.52,0,0,0
2,0,57789.47,56483.6,15616,0,0,0
2,0,41846.11,71499.34,3043.29,0,0,0
2,0,42544.67,68513.11,2373.27,0,0,0
2,0,28621.62,46366.82,12851.61,0,0,0
2,0,38806.45,62748.96,2057.28,0,0,0
2,0,38105.48,58547.12,6227.61,0,0,0
2,0,42829.66,65629.79,2830.49,0,0,0
2,0,44412.36,41274.78,12639.22,0,0,0
2,0,35204.7,66540.78,1940.14,0,0,0
2,0,39228.61,54279.62,7884.47,0,0,0
2,0,40322.8,51567.68,10321.52,0,0,0
2,0,32295.95,68785.12,2829.51,0,0,0
2,0,37676.91,64013.71,3339.73,0,0,0
2,0,41496.89,63939.22,2323.16,0,0,0
2,0,37610.64,54993.16,6368.87,0,0,0
2,0,36356.18,52760.01,9367.11,0,0,0
2,0,61634.29,55446.13,14026.72,0,0,0
2,0,42655.9,67711.53,2380.12,0,0,0
2,0,33033.3,65268.69,2130.83,0,0,0
2,0,17518.32,64091.51,1274.42,0,0,0
2,0,24220.52,54541.03,10299.84,0,0,0
2,0,12506.41,64780.14,1418.45,0,0,0
2,0,15708.65,64043.86,1208.66,0,0,0
2,0,8002.39,52046.38,1141.7,0,0,0
2,0,43935,76408,10382,0,0,0
2,0,43035,87805,14178,0,0,0
2,0,40816,38525,9580,0,0,0
2,0,18885,72126,3888,0,0,0
2,0,45986,64978,7106,0,0,0
2,0,54993,66317,13362,0,0,0
2,0,27617,56583,10521,0,0,0
2,0,14561,67145,3270,0,0,0
2,0,23962,52159,8229,0,0,0
2,0,31616.14,39987.34,12170.41,0,0,0
2,0,32864,50434,9024,0,0,0
2,0,16632,48404,12136,0,0,0
2,0,17767,60829,1244,0,0,0
2,0,55080,78157,16086,0,0,0
2,0,41947,43300,9312,0,0,0
2,0,16636,61988,3268,0,0,0
2,0,6393,57547,1097,0,0,0
2,0,30381,65872,1412,0,0,0
2,0,41261,60407,6331,0,0,0
2,0,57256,47767,15631,0,0,0
2,0,47810,56564,11799,0,0,0
2,0,44294,61395,6966,0,0,0
2,0,38678,43801,8889,0,0,0
2,0,30258,53768,9713,0,0,0
2,0,19709,52166,10322,0,0,0
2,0,29201,70038,4126,0,0,0
2,0,25047,90007,11434,0,0,0
2,0,20588,72356,4627,0,0,0
2,0,50489,44921,10471,0,0,0
2,0,26091,90907,11650,0,0,0
2,0,22775,89837,10640,0,0,0
2,0,56346,66876,14259,0,0,0
2,0,31022,51406,9274,0,0,0
2,0,17987,76812,6513,0,0,0
2,0,52554,65446,13033,0,0,0
2,0,14943,69569,1103,0,0,0
2,0,28689,76745,8442,0,0,0
2,0,50536,61907,11847,0,0,0
2,0,31856,46261,9080,0,0,0
2,0,12630,64222,2913,0,0,0
2,0,39496,81281,10025,0,0,0
2,0,29055,80770,9204,0,0,0
2,0,54718.72,64364.02,13535.37,0,0,0
2,0,23927,90472,11077,0,0,0
2,0,24674,82456,9106,0,0,0
2,0,12035,65706,2216,0,0,0
2,0,44033,34752,11690,0,0,0
2,0,65030,62740,18084,0,0,0
2,0,16981,58776,2156,0,0,0
2,0,25066,49509,9169,0,0,0
2,0,27994.82,41324.64,12610.85,0,0,0
2,0,28268,83858,9420,0,0,0
2,0,26285,71943,6835,0,0,0
2,0,35423,71583,2143,0,0,0
2,0,42324,42296,9430,0,0,0
2,0,15234,47149,12823,0,0,0
2,0,21847,49315,9919,0,0,0
2,0,26847,76197,7948,0,0,0
2,0,43311,57664,7807,0,0,0
2,0,37963,72666,2791,0,0,0
2,0,47812,75489,10177,0,0,0
2,0,18574,79886,7679,0,0,0
2,0,10861,63092,4108,0,0,0
2,0,13397,71192,1098,0,0,0
2,0,44143,50388,9236,0,0,0
2,0,45923,42997,10614,0,0,0
2,0,11248,77205,2024,0,0,0
2,0,11817,71391,846,0,0,0
2,0,45900,47654,9560,0,0,0
