zoneIndex,x,y,z,pitch,yaw,roll
2,50442.94,49730.07,11033.83,0,-163,0
5,-81652.93,64033.45,9744.96,0,130,20
6,-11171.99,-7752.24,24983.27,0,0,0
3,1493.28,37890.46,14603.50,0,82,0
3,2742.37,38544.05,14727.55,0,84,0
3,2318.91,40766.59,14618.31,0,0,12
3,111.89,40136.39,14569.75,0,60,0
3,860.35,42581.83,14058.85,0,48,14
3,-1351.66,42280.29,14603.31,2,-153,15
3,-1274.33,45730.80,14155.71,-24,138,0
3,-3206.86,44186.59,14147.27,-4,145,-14
3,-4409.92,45208.33,13912.36,0,0,4
3,-1794.44,47334.41,13328.39,-6,157,8
3,-5213.99,45863.16,13008.04,0,114,0
3,-6618.77,45819.27,14837.64,-20,138,0
3,-5847.71,46577.47,16481.32,4,100,0
3,-4915.84,42536.70,14947.58,0,-108,0
3,-5544.30,45251.09,17045.78,-10,-80,-18
3,-5275.13,41418.64,16685.38,0,72,0
3,-6039.29,38665.98,18591.92,0,162,0
3,-5765.57,38279.52,14526.81,0,-40,0
3,-3379.27,38925.55,14575.31,-13,76,-10
3,2192.39,36318.55,14553.92,0,0,0
3,-544.24,36060.82,14679.39,-4,166,4
3,-219.99,34363.50,14782.34,0,-104,0
3,-4472.68,35421.66,14965.65,0,74,0
3,420.60,29526.97,15099.30,0,-18,2
3,-1885.21,33065.74,16529.21,0,14,0
3,-3248.27,33074.77,15213.77,0,-78,0
3,-2500.45,29991.42,16872.41,0,-16,0
3,543.26,28078.14,16899.51,0,-14,0
3,1573.36,32229.44,16890.75,0,78,0
3,5651.35,34791.04,14507.75,-8,-176,0
3,5950.72,38476.70,14716.73,0,146,14
3,3889.44,41313.48,14551.92,-0,154,4
3,2947.89,44876.32,13882.21,0,36,0
3,8462.27,43051.00,12929.37,0,0,0
3,10666.54,44518.09,12911.03,-2,154,0
3,11222.80,40825.22,13605.64,-6,124,-4
3,14790.18,41588.54,12891.64,-8,-158,0
3,13003.15,41206.54,13400.90,-18,-161,3
3,5413.63,44660.66,14604.25,-8,70,-4
3,6415.53,40027.27,14236.40,0,-144,2
3,7251.25,38545.05,14294.31,-22,151,-2
3,9481.41,36407.46,14263.18,-10,-22,-10
3,13529.61,39529.59,13590.12,4,156,-2
3,17414.09,40436.62,13294.66,-7,171,5
3,21169.98,43093.84,13754.53,10,-144,-6
3,20836.19,39640.03,15105.74,0,48,-30
3,18634.56,40263.77,13528.81,-2,-44,-6
3,22527.72,37664.21,13547.19,0,-44,-2
3,23478.85,33598.73,14395.57,4,176,8
3,24894.50,37713.46,13496.89,2,160,-6
3,20934.85,35138.05,13540.46,-8,83,-8
3,17963.60,35124.51,13583.01,0,175,-8
3,16944.04,34656.19,14963.73,0,-140,0
3,21386.16,32146.73,13776.73,0,60,0
3,19253.23,29655.85,14440.59,0,78,18
3,15131.41,30362.46,13569.61,0,132,0
3,12864.67,31645.26,15570.20,0,-134,0
3,10369.84,30523.68,14963.87,0,-50,0
3,12717.07,28782.08,13685.67,0,-52,0
3,11315.83,34336.86,13685.11,0,50,0
3,12850.01,37502.42,13598.83,-16,-16,0
3,7880.85,39888.89,14233.68,0,12,0
3,5081.86,33330.26,14529.08,-18,1,-4
3,7190.30,30864.29,14136.86,0,0,0
3,5938.90,26133.57,13798.78,-10,50,-14
3,10645.95,26131.52,13791.06,-10,-16,10
3,14065.50,23932.31,14244.49,2,-24,8
3,14566.97,27232.05,13593.66,0,128,4
3,18657.35,28156.40,14063.92,0,-170,-2
3,17033.83,24956.06,13851.87,0,-18,0
3,17787.53,22186.76,14165.32,0,150,0
3,18563.73,24265.25,13866.73,0,118,0
3,22142.39,24014.81,14524.63,0,146,13
3,20826.09,26288.97,15113.78,0,-32,0
3,23251.35,29456.63,15179.94,0,-28,0
3,24543.84,29824.75,17153.34,0,150,0
3,28748.93,28773.21,17151.34,0,-28,0
