localID,pid,fields,dx,dy,dz,dpitch,dyaw,droll,comment
BP_Matchbox_C--arkan--TQKKVZBHJKEGYGGCWNXHWCACIATG--1658760179--BP_Matchbox_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandMatchboxes.RiverlandMatchboxes:PersistentLevel.BP_Matchbox135_32,6765,Mesh1Transform,-40,340,-520,0,0,0,the infamous sniperbox; still a bit harder to solve than most matchboxes but you dont have to get under the map
BP_ArchwayFind_C--arkan--HLVMKAFSXKKFFTABZYKKQAMSYYAX--1658760289--BP_ArchwayFind_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandArchwayFind.RiverlandArchwayFind:PersistentLevel.BP_ArchwayFind328,6147,ActorTransform,102,-188,16,0,-78,0,
BP_ArchwayFind_C--jbard--ZYNNUWSFLZJDKTKYUVXCIFCIJRZO--1661813418--BP_ArchwayFind_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandArchwayFind.RiverlandArchwayFind:PersistentLevel.BP_ArchwayFind485,6318,ActorTransform,18,140,-16,0,0,0,
BP_Matchbox_C--arkan--ACFNETKUOVPCUBUDJRGHWIXUEXEH--1658760179--BP_Matchbox_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandMatchboxes.RiverlandMatchboxes:PersistentLevel.BP_Matchbox316,6981,Mesh1Transform,-74,14,14,0,0,0,
BP_Matchbox_C--arkan--HLJLKXUTDKCIKSKYHEPNIOTLRAMX--1658760179--BP_Matchbox_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandMatchboxes.RiverlandMatchboxes:PersistentLevel.BP_Matchbox420_71,7085,Mesh1Transform,0,0,10,0,0,0,
BP_Matchbox_C--arkan--KXTKXFTZRFEDGGBVANTMTBXIKPVQ--1658760179--BP_Matchbox_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandMatchboxes.RiverlandMatchboxes:PersistentLevel.BP_Matchbox134,6763,Mesh1Transform,-4,10,0,0,0,0,
BP_RacingRings_C--arkan--IPAODOLQKZEWOGOAAQAIGJIBOEJO--1666739721--BP_RacingRings_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandRacingRings.RiverlandRacingRings:PersistentLevel.BP_RacingRings18_14,4904,StartingPlatformTransform,0,0,2,2,0,2,
BP_ArchwayFind_C--arkan--BWJNHQUDDNOLUBYJGIHVPYLKWRZA--1658760289--BP_ArchwayFind_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandArchwayFind.RiverlandArchwayFind:PersistentLevel.BP_ArchwayFind349,6162,ActorTransform,340,-255,0,0,-90,0,florb issues
BP_ArchwayFind_C--arkan--DUZLFHRCYQXKVZLJWKVXWAIGEYJE--1658760289--BP_ArchwayFind_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandArchwayFind.RiverlandArchwayFind:PersistentLevel.BP_ArchwayFind36_35,6194,ActorTransform,-96,-76,-12,0,8,0,
BP_ArchwayFind_C--arkan--FTVKMULYHFJGYPVSFLOMUVDCYRJC--1658760289--BP_ArchwayFind_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandArchwayFind.RiverlandArchwayFind:PersistentLevel.BP_ArchwayFind201,6005,ActorTransform,-16,104,-42,0,-12,0,
