localID,pid,fields,dx,dy,dz,dpitch,dyaw,droll,comment
BP_RacingRings_C--jbard--CFNZTZLDGVAEQKHRCVFLBUWXRXNV--1666264990--BP_RacingRings_C /Game/ASophia/Maps/MainMapSubmaps/Central/CentralPuzzles/CentralRacingRings.CentralRacingRings:PersistentLevel.BP_RacingRings8_6,10387,StartingPlatformTransform,-132,131,46,0,2,12,lucent glide ring starting platform was stuck in a rock almost fully though it was solvable
seek5--jbard--JMWGYCJWVXNLIWXVOCSJCVJIEMQL--1666106084--BP_Seek5_C /Game/ASophia/Maps/MainMapSubmaps/Central/CentralPuzzles/CentralSeek5.CentralSeek5:PersistentLevel.BP_Seek5_11,10458,DuplicateTransform-1,-123,-410,-80,0,0,0,one of the relics is outside the pentad ellipsoid; warning parent has rotation
BP_Matchbox_C--jbard--KUSECSTMVIIUASWIYCTIQTMEFCHD--1664492660--BP_Matchbox_C /Game/ASophia/Maps/MainMapSubmaps/Central/CentralPuzzles/CentralMatchboxes.CentralMatchboxes:PersistentLevel.BP_Matchbox43,10053,Mesh2Transform,-80,320,0,0,0,0,interferes with florb 10350 a bit
hiddenCube--jonat--NDVFFRNOTJFFICIOALHGEOVZETXE--1677691042--BP_HiddenCube_C /Game/ASophia/Maps/TestingSubmaps/CentralPlacement/CentralJonathan.CentralJonathan:PersistentLevel.BP_HiddenCube_C_247,13261,ActorTransform,100,0,445,-20,20,-50,also inside matchbox 10079
BP_Matchbox_C--Danae--WRXZMJFMXQXFMTBSCOVYOBSIKNJB--1660588794--BP_Matchbox_C /Game/ASophia/Maps/MainMapSubmaps/Central/CentralPuzzles/CentralMatchboxes.CentralMatchboxes:PersistentLevel.BP_Matchbox_C_1,9942,Mesh2Transform,-1130,5,5,0,-15,0,florb 10382
BP_Matchbox_C--Danae--WRXZMJFMXQXFMTBSCOVYOBSIKNJB--1660588794--BP_Matchbox_C /Game/ASophia/Maps/MainMapSubmaps/Central/CentralPuzzles/CentralMatchboxes.CentralMatchboxes:PersistentLevel.BP_Matchbox_C_1,9942,Mesh1Transform,0,0,15,0,0,0,unstick from the ground
BP_ArchwayFind_C--jbard--QNAMTDKDXAJZCONPJKYGMWSAMAIV--1664491208--BP_ArchwayFind_C /Game/ASophia/Maps/MainMapSubmaps/Central/CentralPuzzles/CentralArchwaysFind.CentralArchwaysFind:PersistentLevel.BP_ArchwayFind183,9313,ActorTransform,-360,-400,0,0,0,0,florb
BP_ArchwayFind_C--jbard--QOOYQLDMYDUEOAJWQQQTNSRSRLEJ--1664491208--BP_ArchwayFind_C /Game/ASophia/Maps/MainMapSubmaps/Central/CentralPuzzles/CentralArchwaysFind.CentralArchwaysFind:PersistentLevel.BP_ArchwayFind171,9330,ActorTransform,-560,200,200,0,0,0,florb
BP_RacingRings_C--jbard--XEFTLXBZOZFIJOJLZBFGYNROXAGU--1666264990--BP_RacingRings_C /Game/ASophia/Maps/MainMapSubmaps/Central/CentralPuzzles/CentralRacingRings.CentralRacingRings:PersistentLevel.BP_RacingRings24_22,10397,StartingPlatformTransform,-70,80,-1,0,0,0,start stuck in walls
BP_RacingRings_C--jbard--XMPYLZTHIKYOWASGHSVQAWHUPPRT--1666264990--BP_RacingRings_C /Game/ASophia/Maps/MainMapSubmaps/Central/CentralPuzzles/CentralRacingRings.CentralRacingRings:PersistentLevel.BP_RacingRings23_21,10402,StartingPlatformTransform,50,-60,-1,0,0,0,start stuck in walls
