localID,pid,fields,dx,dy,dz,dpitch,dyaw,droll,comment
ghostObject--jonat--ILNLYPIIUHIFHPASGJRZHBXDUBEH--1681118624--BP_GhostHiddenObject_C /Game/ASophia/Maps/TestingSubmaps/MountainPlacement/Mountain_Jonathan.Mountain_Jonathan:PersistentLevel.BP_GhostHiddenObject_C_1,17035,ActorTransform,117,-180,-19,0,0,0,
ghostObject--jonat--ZDIHXBJWJACSYHVHEMLMTRFEHNYN--1680844835--BP_GhostHiddenObject_C /Game/ASophia/Maps/TestingSubmaps/MountainPlacement/Mountain_Jonathan.Mountain_Jonathan:PersistentLevel.BP_GhostHiddenObject_C_10,16943,ActorTransform,291,35,-275,0,0,0,
ghostObject--jonat--AJTLUYOJKWQAEUBZRECVNVRIOEWD--1681351819--BP_GhostHiddenObject_C /Game/ASophia/Maps/TestingSubmaps/MountainPlacement/Mountain_Jonathan.Mountain_Jonathan:PersistentLevel.BP_GhostHiddenObject97,17080,ActorTransform,450,-102,-9,0,0,0,make way for monument79
Monument1_C--jbard--LPHPFALBQVCGESUHARNWQGOMMGIU--1680599025--Monument1_C /Game/ASophia/Maps/MainMapSubmaps/Mountain/MountainPuzzles/Mountain_Slabs.Mountain_Slabs:PersistentLevel.Monument80,-1,monumentTransform,161,0,-634,0,0,0,
Monument1_C--jbard--MEQGAWXUGVMTQLJVYRAISGPJMKVM--1680599008--Monument1_C /Game/ASophia/Maps/MainMapSubmaps/Mountain/MountainPuzzles/Mountain_Slabs.Mountain_Slabs:PersistentLevel.Monument79,-1,monumentTransform,-179,-137,670,0,0,0.04361938736533599,quats
ghostObject--jonat--PAQHEMRQHQMSVSHNUOCBMKRRVPUC--1681130852--BP_GhostHiddenObject_C /Game/ASophia/Maps/TestingSubmaps/MountainPlacement/Mountain_Jonathan.Mountain_Jonathan:PersistentLevel.BP_GhostHiddenObject63,17036,ActorTransform,20,-58,0,0,0,0,
hiddenArchway--main_gi--WJZBNDOUEUFZUKHVTKTEGAHVSYUL--1682996534--BP_ArchwayFind_C /Game/ASophia/Maps/TestingSubmaps/MountainPlacement/Mountain_Javis.Mountain_Javis:PersistentLevel.BP_ArchwayFind_C_19,18466,ActorTransform,-96,-101,-9,0,28,0,
matchbox--jonat--IEALMQNWRZHTISVHBFHARKNAWJVH--1685458789--BP_Matchbox_C /Game/ASophia/Maps/TestingSubmaps/MountainPlacement/Mountain_Jonathan.Mountain_Jonathan:PersistentLevel.BP_Matchbox_C_41,16816,Mesh1Transform,-335,-30,-98,0,0,0,
racingRingCourse--Utilisateur--NTFOFWXFZLSKNRAXXWBMQTIXCXCM--1687366413--BP_RacingRings_C /Game/ASophia/Maps/TestingSubmaps/MountainPlacement/Mountain_Danael.Mountain_Danael:PersistentLevel.BP_RacingRings_C_22,17474,StartingPlatformTransform,-235,-19,7,0,6,0,
racingRingCourse--Utilisateur--SQJAERFVJJFOXIQQFRBOXVNAPCWQ--1687367776--BP_RacingRings_C /Game/ASophia/Maps/TestingSubmaps/MountainPlacement/Mountain_Danael.Mountain_Danael:PersistentLevel.BP_RacingRings_C_25,17475,StartingPlatformTransform,-32,-275,32,2,0,15,
racingRingCourse--jonat--EWZDFXUGYKGCNACRWEOCZPUEMTAU--1683594696--BP_RacingRings_C /Game/ASophia/Maps/TestingSubmaps/MountainPlacement/Mountain_Jonathan.Mountain_Jonathan:PersistentLevel.BP_RacingRings_C_13,17494,StartingPlatformTransform,147,80,-16,15,-20,3,
racingRingCourse--jonat--HOEDEDREXFVKGSEFEBQOZYBYIEVU--1683769429--BP_RacingRings_C /Game/ASophia/Maps/TestingSubmaps/MountainPlacement/Mountain_Jonathan.Mountain_Jonathan:PersistentLevel.BP_RacingRings_C_4,17406,DuplicateTransform-6,0,66,0,0,0,0,
