localID,pid,fields,dx,dy,dz,dpitch,dyaw,droll,comment
hiddenCube--jonat--AGVOUPLBUSQCHXETZBITXSWVWJOE--1677864030--BP_HiddenCube_C /Game/ASophia/Maps/TestingSubmaps/PuzzlePlacementMaps/WorkspaceJonathan.WorkspaceJonathan:PersistentLevel.BP_HiddenCube158,13828,ActorTransform,-340,-685,0,0,0,0,this cube may block a matchbox from being solved; moved it to the other column on the other side of the jumppad
BP_RacingRings_C--arkan--VKOUJMNYZGUXNNSHFFYHFOTUDOXF--1666739721--BP_RacingRings_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandRacingRings.RiverlandRacingRings:PersistentLevel.BP_RacingRings31_23,4913,StartingPlatformTransform,-88,128,1,0,0,0,
BP_ArchwayFind_C--arkan--OZRMEOJCWZVEEJJHSNCFOYKRYMNX--1658760289--BP_ArchwayFind_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandArchwayFind.RiverlandArchwayFind:PersistentLevel.BP_ArchwayFind156,5957,ActorTransform,-78,-56,0,0,-6,0,
BP_ArchwayFind_C--arkan--VKFINYWKWGPXZASMFDVKDBEGLTQG--1658760289--BP_ArchwayFind_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandArchwayFind.RiverlandArchwayFind:PersistentLevel.BP_ArchwayFind24_29,6056,ActorTransform,10,-302,-68,0,0,0,
BP_Matchbox_C--arkan--DKOQLESYNORVOSNSLLOYIWGOKEBZ--1658760179--BP_Matchbox_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandMatchboxes.RiverlandMatchboxes:PersistentLevel.BP_Matchbox375_88,7033,Mesh1Transform,-82,31,13,1,6,-8,
BP_Matchbox_C--arkan--VPZJENWBDVAIHAEWKOWTUJNYKGPC--1658760179--BP_Matchbox_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandMatchboxes.RiverlandMatchboxes:PersistentLevel.BP_Matchbox116,6744,Mesh1Transform,144,0,0,-18,0,0,
BP_Matchbox_C--arkan--TBNQOTALUKKBXQLCPPUIGIBIDQOR--1658760179--BP_Matchbox_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandMatchboxes.RiverlandMatchboxes:PersistentLevel.BP_Matchbox187_14,6828,Mesh1Transform,0,0,3,0,0,0,
BP_RacingRings_C--arkan--DYHQNUFEGTFSIJDUQTJTONPJMZVG--1666739721--BP_RacingRings_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandRacingRings.RiverlandRacingRings:PersistentLevel.BP_RacingRings30,4907,StartingPlatformTransform,12,0,2,4,0,6,
BP_RacingRings_C--arkan--FYQBHFUXGZOMQRQJUJRSMOUINNEC--1666739721--BP_RacingRings_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandRacingRings.RiverlandRacingRings:PersistentLevel.BP_RacingRings25_5,4902,StartingPlatformTransform,0,0,10,5,0,-2,
BP_RacingRings_C--arkan--ZSHWJUDKPXMNTEECYSPZSEBGTBFS--1666739721--BP_RacingRings_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandRacingRings.RiverlandRacingRings:PersistentLevel.BP_RacingRings24_2,4909,StartingPlatformTransform,0,0,18,-12,22,6,
BP_Seek5_C--arkan--LLBBOXOUADSUFFCXKKLBSZRNBNXN--1658760301--BP_Seek5_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandSeek5.RiverlandSeek5:PersistentLevel.BP_Seek5_Template25,4976,CentralPillarTransform,0,0,-33,0,0,0,
racingRingCourse--Will--USLGVVJICZRQBYTICQPDINQICHCG--1698119983--BP_RacingRings_C /Game/ASophia/Maps/TestingSubmaps/RiverlandPlacement/RiverlandsWill.RiverlandsWill:PersistentLevel.BP_RacingRings_C_9,19839,StartingPlatformTransform,16,-39,-15,-2.5,0,7,
