localID,pid,fields,dx,dy,dz,dpitch,dyaw,droll,comment
SlabSocket_C--alyss--HKZGBZNYYMHWLHTHFPJFLXMKAMXH--1668710844--SlabSocket_C /Game/ASophia/Maps/MainMapSubmaps/RainForest/RainforestPuzzles/Rainforest_Slabs.Rainforest_Slabs:PersistentLevel.SlabSocket12_0,-1,monumentTransform|PuzzleBoxLocation,0,0,5,0,0,0,floor slab back to the ground
SlabSocket_C--alyss--LECVSWLMQGWKRGLMOONRMERTSJGC--1667603877--SlabSocket_C /Game/ASophia/Maps/MainMapSubmaps/RainForest/RainforestPuzzles/Rainforest_Slabs.Rainforest_Slabs:PersistentLevel.SlabSocket10_5,-1,monumentTransform|PuzzleBoxLocation,-120,-50,45,0,0,0,floor slab back to the ground
SlabSocket_C--jonat--GGEXSCVRQDRJTXJQDCFRTLIKUBUY--1681751648--SlabSocket_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandEscarpment/RiverlandPuzzles/RiverlandSlabs.RiverlandSlabs:PersistentLevel.SlabSocket11,-1,monumentTransform|PuzzleBoxLocation,0,0,-35,0,0,0,floor slab back to the ground
SlabSocket_C--jonat--SWMFJWLQWPTULMFIWJVSMTMVIMXE--1681752993--SlabSocket_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandEscarpment/RiverlandPuzzles/RiverlandSlabs.RiverlandSlabs:PersistentLevel.SlabSocket16,-1,monumentTransform|PuzzleBoxLocation,-50,-55,-15,0,0,0,floor slab back to the ground
SlabSocket_C--jonat--AXBWTNXUHOQATKVYFYYNTOWEADSX--1681752346--SlabSocket_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandEscarpment/RiverlandPuzzles/RiverlandSlabs.RiverlandSlabs:PersistentLevel.SlabSocket13,-1,monumentTransform|PuzzleBoxLocation,-65,75,-10,0,0,0,floor slab back to the ground
SlabSocket_C--alyss--PXGCCVVMEPSBDELPFDHWZINTCOSO--1679324445--SlabSocket_C /Game/ASophia/Maps/MainMapSubmaps/Mountain/MountainPuzzles/Mountain_Slabs.Mountain_Slabs:PersistentLevel.SlabSocket9,-1,monumentTransform|PuzzleBoxLocation,0,0,30,0,0,0,floor slab back to the ground
SlabSocket_C--jonat--XDGUHRYDUWIIPCUDFJMJQSQROSNK--1681753337--SlabSocket_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandEscarpment/RiverlandPuzzles/RiverlandSlabs.RiverlandSlabs:PersistentLevel.SlabSocket18,-1,monumentTransform|PuzzleBoxLocation,0,0,-10,0,0,0,floor slab back to the ground
SlabSocket_C--jonat--YNFBVHBPLVLJPSZEDVRPFUPGFEJR--1681752528--SlabSocket_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandEscarpment/RiverlandPuzzles/RiverlandSlabs.RiverlandSlabs:PersistentLevel.SlabSocket14,-1,monumentTransform|PuzzleBoxLocation,0,0,5,0,0,0,floor slab back to the ground
SlabSocket_C--jonat--GJATYBRAJVMJYUPECPMKJUEIHJPM--1681753179--SlabSocket_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandEscarpment/RiverlandPuzzles/RiverlandSlabs.RiverlandSlabs:PersistentLevel.SlabSocket17,-1,monumentTransform|PuzzleBoxLocation,0,0,-15,0,0,0,floor slab back to the ground
SlabSocket_C--arkan--UCIOBCFVOIEITIVCUWZECOOZLINF--1663101313--SlabSocket_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandEscarpment/RiverlandEscarpmentZone/RiverlandIslands.RiverlandIslands:PersistentLevel.SlabSocket2_6,-1,monumentTransform|PuzzleBoxLocation,0,0,10,0,0,0,floor slab back to the ground
SlabSocket_C--jonat--OHWBVPZAPGYYAGRHTRGCQRVDJLMA--1681769996--SlabSocket_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandEscarpment/RiverlandPuzzles/RiverlandSlabs.RiverlandSlabs:PersistentLevel.SlabSocket19,-1,monumentTransform|PuzzleBoxLocation,0,0,-5,0,0,0,floor slab back to the ground
SlabSocket_C--jonat--HXTLNKEOPPCPHDMZNVLRMDLNCALP--1681765490--SlabSocket_C /Game/ASophia/Maps/MainMapSubmaps/Redwood/RedwoodPuzzles/RedwoodSlabs.RedwoodSlabs:PersistentLevel.SlabSocket8,-1,monumentTransform|PuzzleBoxLocation,0,0,-60,0,0,0,floor slab back to the ground
SlabSocket_C--arkan--DJUMGTFJKBOCFZRCFIUKEFUATWZZ--1663101313--SlabSocket_C /Game/ASophia/Maps/MainMapSubmaps/Redwood/RedwoodPuzzles/RedwoodSlabs.RedwoodSlabs:PersistentLevel.SlabSocket6,-1,monumentTransform|PuzzleBoxLocation,0,0,15,0,0,0,floor slab back to the ground
SlabSocket_C--jonat--ZALICQQIQFNOSCIICHBWQDNOMXGC--1681765854--SlabSocket_C /Game/ASophia/Maps/MainMapSubmaps/Redwood/RedwoodPuzzles/RedwoodSlabs.RedwoodSlabs:PersistentLevel.SlabSocket11,-1,monumentTransform|PuzzleBoxLocation,-70,40,-80,0,0,0,floor slab back to the ground
SlabSocket_C--jonat--ODCGVVXCIFUCGVLRLEWEIWMKBVKY--1681765670--SlabSocket_C /Game/ASophia/Maps/MainMapSubmaps/Redwood/RedwoodPuzzles/RedwoodSlabs.RedwoodSlabs:PersistentLevel.SlabSocket10,-1,monumentTransform|PuzzleBoxLocation,0,0,-70,0,0,0,floor slab back to the ground
SlabSocket_C--jonat--VYDHQOZNZFBKRECFRCEZYNVVSZRZ--1681767370--SlabSocket_C /Game/ASophia/Maps/MainMapSubmaps/Redwood/RedwoodPuzzles/RedwoodSlabs.RedwoodSlabs:PersistentLevel.SlabSocket21,-1,monumentTransform|PuzzleBoxLocation,0,15,-31,0,0,0,floor slab back to the ground
SlabSocket_C--jonat--DXCTGLRLFKHMSDLTQRHDNHPMBULZ--1681767548--SlabSocket_C /Game/ASophia/Maps/MainMapSubmaps/Redwood/RedwoodPuzzles/RedwoodSlabs.RedwoodSlabs:PersistentLevel.SlabSocket22,-1,monumentTransform|PuzzleBoxLocation,0,0,-62,0,0,0,floor slab back to the ground
SlabSocket_C--arkan--KCKMYGWMIEXADHJZXCNOHBVVCHIG--1663101313--SlabSocket_C /Game/ASophia/Maps/MainMapSubmaps/Redwood/RedwoodPuzzles/RedwoodSlabs.RedwoodSlabs:PersistentLevel.SlabSocket14,-1,monumentTransform|PuzzleBoxLocation,0,0,-30,0,0,0,floor slab back to the ground
SlabSocket_C--arkan--TUYVYUEGNIZHNYAUSBSCOICNZLWG--1663101313--SlabSocket_C /Game/ASophia/Maps/MainMapSubmaps/Redwood/RedwoodPuzzles/RedwoodSlabs.RedwoodSlabs:PersistentLevel.SlabSocket12_3,-1,monumentTransform|PuzzleBoxLocation,0,0,-37,0,0,0,floor slab back to the ground
SlabSocket_C--jonat--LXKLTTBKJOQZREODTJLINAUCOGWJ--1681766116--SlabSocket_C /Game/ASophia/Maps/MainMapSubmaps/Redwood/RedwoodPuzzles/RedwoodSlabs.RedwoodSlabs:PersistentLevel.SlabSocket15,-1,monumentTransform|PuzzleBoxLocation,0,0,-200,0,0,0,floor slab back to the ground
SlabSocket_C--jonat--HFDAJIIIOLJNEPRAIZULUYZCWZHQ--1681766015--SlabSocket_C /Game/ASophia/Maps/MainMapSubmaps/Redwood/RedwoodPuzzles/RedwoodSlabs.RedwoodSlabs:PersistentLevel.SlabSocket13,-1,monumentTransform|PuzzleBoxLocation,-20,0,-80,0,0,0,floor slab back to the ground
SlabSocket_C--jonat--LQBFQGPPUCHAHZDMZNXJUSECTLWC--1681766647--SlabSocket_C /Game/ASophia/Maps/MainMapSubmaps/Redwood/RedwoodPuzzles/RedwoodSlabs.RedwoodSlabs:PersistentLevel.SlabSocket19,-1,monumentTransform|PuzzleBoxLocation,-60,0,-55,0,0,0,floor slab back to the ground
SlabSocket_C--jonat--HKROCZOIVLJMVIVTTQSGDTOQNHXX--1681766517--SlabSocket_C /Game/ASophia/Maps/MainMapSubmaps/Redwood/RedwoodPuzzles/RedwoodSlabs.RedwoodSlabs:PersistentLevel.SlabSocket18,-1,monumentTransform|PuzzleBoxLocation,0,0,-5,0,0,0,floor slab back to the ground
SlabSocket_C--jonat--TLQIJZOWCTVOIJEJPODIFNVHKXER--1681767255--SlabSocket_C /Game/ASophia/Maps/MainMapSubmaps/Redwood/RedwoodPuzzles/RedwoodSlabs.RedwoodSlabs:PersistentLevel.SlabSocket20,-1,monumentTransform|PuzzleBoxLocation,0,0,-35,0,0,0,floor slab back to the ground
SlabSocket_C--jonat--VFJXYAEXOJOHMUCUTBOIKSBRKCRT--1681766386--SlabSocket_C /Game/ASophia/Maps/MainMapSubmaps/Redwood/RedwoodPuzzles/RedwoodSlabs.RedwoodSlabs:PersistentLevel.SlabSocket17,-1,monumentTransform|PuzzleBoxLocation,0,114,-78,0,0,0,floor slab back to the ground
SlabSocket_C--jonat--DTKDPKRQVEHPUQDXYXQGSZYKUCZK--1681766283--SlabSocket_C /Game/ASophia/Maps/MainMapSubmaps/Redwood/RedwoodPuzzles/RedwoodSlabs.RedwoodSlabs:PersistentLevel.SlabSocket16,-1,monumentTransform|PuzzleBoxLocation,0,0,-20,0,0,0,floor slab back to the ground
SlabSocket_C--jonat--EOKDRUMIHSTBPISOVJLTLPYIELNE--1681765577--SlabSocket_C /Game/ASophia/Maps/MainMapSubmaps/Redwood/RedwoodPuzzles/RedwoodSlabs.RedwoodSlabs:PersistentLevel.SlabSocket9,-1,monumentTransform|PuzzleBoxLocation,0,0,-55,0,0,0,floor slab back to the ground
