localID,pid,fields,dx,dy,dz,dpitch,dyaw,droll,comment
hiddenCube--jonat--PWUDXZLZVHRPAGKOTFYGGELXSIIZ--1677689198--BP_HiddenCube_C /Game/ASophia/Maps/TestingSubmaps/CentralPlacement/CentralJonathan.CentralJonathan:PersistentLevel.BP_HiddenCube_C_164,13217,ActorTransform,-42,20,38,0,0,0,
hiddenCube--jonat--PYBITRBGQTXMWEMQPEFBLKEMZBIQ--1677689739--BP_HiddenCube_C /Game/ASophia/Maps/TestingSubmaps/CentralPlacement/CentralJonathan.CentralJonathan:PersistentLevel.BP_HiddenCube_C_197,13228,ActorTransform,0,0,-8,0,0,0,
hiddenCube--jonat--WIZGSCCNNZPZRSOHYYEVOCBKDSAI--1677689260--BP_HiddenCube_C /Game/ASophia/Maps/TestingSubmaps/CentralPlacement/CentralJonathan.CentralJonathan:PersistentLevel.BP_HiddenCube_C_167,13215,ActorTransform,-8,-6,-20,0,-10,0,
BP_Matchbox_C--Danae--TEISVDUXUZGOTBHKSCCKHUHVGQHR--1660571522--BP_Matchbox_C /Game/ASophia/Maps/MainMapSubmaps/Central/CentralPuzzles/CentralMatchboxes.CentralMatchboxes:PersistentLevel.BP_Matchbox_C_31,9947,Mesh2Transform,0,0,14,8,0,4,
followTheShiny--Martin--AAGCRESPGEWSJGLKZBHUTAIAAFNH--1675718892--BP_FollowTheShiny_C /Game/ASophia/Maps/TestingSubmaps/RainforestPlacement/RainforestMartin.RainforestMartin:PersistentLevel.BP_FollowTheShiny_C_26,12190,ActorTransform,0,0,16,0,0,0,
followTheShiny--Martin--UKAWOHMJSZPWLRIWKFZVQGLWATAB--1675694059--BP_FollowTheShiny_C /Game/ASophia/Maps/TestingSubmaps/RainforestPlacement/RainforestMartin.RainforestMartin:PersistentLevel.BP_FollowTheShiny_C_25,12183,ActorTransform,0,0,36,0,0,0,
hiddenArchway--main_gi--EYAIARIFEUMTDUZQJHLGJBPLUIPP--1675261626--BP_ArchwayFind_C /Game/ASophia/Maps/TestingSubmaps/RainforestPlacement/RainforestJavis.RainforestJavis:PersistentLevel.BP_ArchwayFind_C_1,11537,ActorTransform,0,-48,0,0,0,0,
hiddenArchway--main_gi--FPEBOLKDCZIRLKLMQTZIGKVRRKTL--1675461298--BP_ArchwayFind_C /Game/ASophia/Maps/TestingSubmaps/RainforestPlacement/RainforestJavis.RainforestJavis:PersistentLevel.BP_ArchwayFind_C_133,11288,ActorTransform,56,28,0,0,0,0,
hiddenArchway--main_gi--LJBSGEAMUNKXTCPGLKKFZXEWZYFN--1675465433--BP_ArchwayFind_C /Game/ASophia/Maps/TestingSubmaps/RainforestPlacement/RainforestJavis.RainforestJavis:PersistentLevel.BP_ArchwayFind_C_247,11324,ActorTransform,-78,184,62,0,0,0,
hiddenArchway--main_gi--PZWXPYJRNZWTTIDIUYNAGMWNAJWN--1675739143--BP_ArchwayFind_C /Game/ASophia/Maps/TestingSubmaps/RainforestPlacement/RainforestJavis.RainforestJavis:PersistentLevel.BP_ArchwayFind_C_136,11400,ActorTransform,22,-8,2,0,0,0,
