localID,pid,fields,dx,dy,dz,dpitch,dyaw,droll,comment
BP_ArchwayFind_C--arkan--BWJNHQUDDNOLUBYJGIHVPYLKWRZA--1658760289--BP_ArchwayFind_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandArchwayFind.RiverlandArchwayFind:PersistentLevel.BP_ArchwayFind349,6162,ActorTransform,340,-255,0,0,-90,0,
BP_ArchwayFind_C--arkan--DUZLFHRCYQXKVZLJWKVXWAIGEYJE--1658760289--BP_ArchwayFind_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandArchwayFind.RiverlandArchwayFind:PersistentLevel.BP_ArchwayFind36_35,6194,ActorTransform,-96,-76,-12,0,8,0,
BP_ArchwayFind_C--arkan--FTVKMULYHFJGYPVSFLOMUVDCYRJC--1658760289--BP_ArchwayFind_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandArchwayFind.RiverlandArchwayFind:PersistentLevel.BP_ArchwayFind201,6005,ActorTransform,-16,104,-42,0,-12,0,
BP_ArchwayFind_C--arkan--FYNSDMWULPGNMLWESDWLZPISSKSY--1658760289--BP_ArchwayFind_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandArchwayFind.RiverlandArchwayFind:PersistentLevel.BP_ArchwayFind199,6003,ActorTransform,120,-18,16,0,26,0,
BP_ArchwayFind_C--arkan--GGIHYZLYNQWKPSBQBQESFBNSFIIV--1658760289--BP_ArchwayFind_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandArchwayFind.RiverlandArchwayFind:PersistentLevel.BP_ArchwayFind303,6124,ActorTransform,-42,-60,0,0,0,0,
BP_ArchwayFind_C--arkan--GPCZCCAYZXSBQKRACNSMHXOADGJD--1658760289--BP_ArchwayFind_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandArchwayFind.RiverlandArchwayFind:PersistentLevel.BP_ArchwayFind248,6055,ActorTransform,26,72,34,0,0,0,
BP_ArchwayFind_C--arkan--GTVUIPINUSBPNCCOJKNCHDRXKGCC--1658760289--BP_ArchwayFind_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandArchwayFind.RiverlandArchwayFind:PersistentLevel.BP_ArchwayFind45_62,6294,ActorTransform,-76,0,12,0,-10,0,
BP_ArchwayFind_C--arkan--IJXZOYBHWMMIPAUACWWESFHTNYBM--1658760289--BP_ArchwayFind_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandArchwayFind.RiverlandArchwayFind:PersistentLevel.BP_ArchwayFind323,6148,ActorTransform,334,0,10,0,0,0,
BP_ArchwayFind_C--arkan--JBTSSGBFGLWZOBFFUXWACPFTHTQE--1658760289--BP_ArchwayFind_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandArchwayFind.RiverlandArchwayFind:PersistentLevel.BP_ArchwayFind249,6071,ActorTransform,0,114,0,0,0,0,
BP_ArchwayFind_C--arkan--JDRPXSPMSCIAWLIHHDDTFEHDHTQK--1658760289--BP_ArchwayFind_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandArchwayFind.RiverlandArchwayFind:PersistentLevel.BP_ArchwayFind438,6270,ActorTransform,116,-72,4,0,-3,0,
BP_ArchwayFind_C--arkan--KCMQNGEGYGBEPIRWTQHQQJMZGDGV--1658760289--BP_ArchwayFind_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandArchwayFind.RiverlandArchwayFind:PersistentLevel.BP_ArchwayFind281,6100,ActorTransform,34,-16,0,0,0,0,
BP_ArchwayFind_C--arkan--KVLLTOTBOYGBWAYFZOFRWTNBMKNW--1658760289--BP_ArchwayFind_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandArchwayFind.RiverlandArchwayFind:PersistentLevel.BP_ArchwayFind124,5932,ActorTransform,-104,83,0,0,-90,0,
BP_ArchwayFind_C--arkan--LQBLAGJMJALQNTIJRFNVSIOLBCHU--1658760289--BP_ArchwayFind_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandArchwayFind.RiverlandArchwayFind:PersistentLevel.BP_ArchwayFind393,6231,ActorTransform,135,35,0,0,0,0,
BP_ArchwayFind_C--arkan--LWDTMFQAPFCQSHGWZDJXQWWANYVE--1658760289--BP_ArchwayFind_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandArchwayFind.RiverlandArchwayFind:PersistentLevel.BP_ArchwayFind182,5977,ActorTransform,245,20,37,-7,0,0,
BP_ArchwayFind_C--arkan--NSZZYBDSCVYUAQMKEXTLBVEPYPYZ--1658760289--BP_ArchwayFind_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandArchwayFind.RiverlandArchwayFind:PersistentLevel.BP_ArchwayFind312,6134,ActorTransform,-315,-35,35,0,-20,0,
BP_ArchwayFind_C--arkan--PFNSWECUKBBGQQYGOUNPQJVAHVXS--1658760289--BP_ArchwayFind_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandArchwayFind.RiverlandArchwayFind:PersistentLevel.BP_ArchwayFind62_113,6424,ActorTransform,-70,160,0,0,0,0,
BP_ArchwayFind_C--arkan--QATJRGFWAXIFPGQQPJFYBWQOYVAN--1658760289--BP_ArchwayFind_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandArchwayFind.RiverlandArchwayFind:PersistentLevel.BP_ArchwayFind233,6050,ActorTransform,106,-96,2,0,-12,0,
BP_ArchwayFind_C--arkan--QRGPJEODLJWXPRXULJMSKJHOOGIW--1658760289--BP_ArchwayFind_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandArchwayFind.RiverlandArchwayFind:PersistentLevel.BP_ArchwayFind402,6224,ActorTransform,0,-62,0,0,-6,0,
BP_ArchwayFind_C--arkan--RIAADOPDXLYRNABJBENCGJCFTEEE--1658760289--BP_ArchwayFind_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandArchwayFind.RiverlandArchwayFind:PersistentLevel.BP_ArchwayFind27_8,6098,ActorTransform,128,-316,-32,0,0,0,
BP_ArchwayFind_C--arkan--XCQRCHEREOBQFVFLVVESFYBBPFZF--1658760289--BP_ArchwayFind_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandArchwayFind.RiverlandArchwayFind:PersistentLevel.BP_ArchwayFind385,6211,ActorTransform,-35,10,0,0,-10,0,
BP_ArchwayFind_C--arkan--ZMTMVHKDDRJQLNXPQJJFWPTOYHPK--1658760289--BP_ArchwayFind_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandArchwayFind.RiverlandArchwayFind:PersistentLevel.BP_ArchwayFind179,5973,ActorTransform,0,-28,0,0,0,0,
BP_ArchwayFind_C--jbard--DVMKIOZUIBAWLKPZRFSKEYAINDWV--1661813418--BP_ArchwayFind_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandArchwayFind.RiverlandArchwayFind:PersistentLevel.BP_ArchwayFind511,6358,ActorTransform,-256,-46,36,0,48,0,
BP_ArchwayFind_C--jbard--ESNBOKQXFPNDACQDWWNYSACYDQIJ--1661813418--BP_ArchwayFind_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandArchwayFind.RiverlandArchwayFind:PersistentLevel.BP_ArchwayFind480,6315,ActorTransform,-22,21,7,0,0,0,
BP_ArchwayFind_C--jbard--FQVGNANBLYFIFOIGEFYYDTIEXVCU--1661813418--BP_ArchwayFind_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandArchwayFind.RiverlandArchwayFind:PersistentLevel.BP_ArchwayFind558,6402,ActorTransform,-26,-99,6,0,-28,0,
BP_ArchwayFind_C--jbard--KCFFKSQSRFMDBRGTCLJXWVZIJVNM--1661813418--BP_ArchwayFind_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandArchwayFind.RiverlandArchwayFind:PersistentLevel.BP_ArchwayFind484,6317,ActorTransform,-32,32,0,0,0,0,
BP_ArchwayFind_C--jbard--NYYLTSNQONQKHVJEMZTYBKAYKRDT--1661813418--BP_ArchwayFind_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandArchwayFind.RiverlandArchwayFind:PersistentLevel.BP_ArchwayFind525,6365,ActorTransform,24,38,0,0,0,0,
BP_ArchwayFind_C--jbard--RIZHJBBMAZGIWSYOCDVZQUPAHZOV--1661813418--BP_ArchwayFind_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandArchwayFind.RiverlandArchwayFind:PersistentLevel.BP_ArchwayFind535,6378,ActorTransform,-20,-94,0,0,6,0,
BP_ArchwayFind_C--jbard--UWHZUDSFZHUTRLDWIQNSVPRCYXGT--1661813418--BP_ArchwayFind_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandArchwayFind.RiverlandArchwayFind:PersistentLevel.BP_ArchwayFind570,6417,ActorTransform,205,-115,15,0,-20,0,
BP_Matchbox_C--arkan--GSIOKDXSZXHQYPYIFQUHXDUGWHFX--1658760179--BP_Matchbox_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandMatchboxes.RiverlandMatchboxes:PersistentLevel.BP_Matchbox175_78,6811,Mesh2Transform,60,-40,6,0,0,0,
BP_Matchbox_C--arkan--GTNHZVHMEMTXPLWVYXJRUENTZUKZ--1658760179--BP_Matchbox_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandMatchboxes.RiverlandMatchboxes:PersistentLevel.BP_Matchbox311,6978,Mesh1Transform,-92,-10,22,2,0,0,
BP_Matchbox_C--arkan--HZJPRESRSWMDKRZWGLREAFQLIZLK--1658760179--BP_Matchbox_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandMatchboxes.RiverlandMatchboxes:PersistentLevel.BP_Matchbox327_78,6972,Mesh1Transform,-193,-58,-20,3,0,-1,
