localID,pid,fields,dx,dy,dz,dpitch,dyaw,droll,comment
matchboxCamphorA,25263,Mesh1Transform,-1262,939,-773,0,-37,0,
matchboxCamphorA,25263,Mesh2Transform,1457,495,-785,0,1,0,
matchboxCamphorB,25264,Mesh1Transform,4782,-5784,868,0,0,0,
matchboxCamphorB,25264,Mesh2Transform,1676,2655,-703,0,0,0,
matchboxCamphorC,25265,Mesh1Transform,-140,300,-800,0,0,0,
matchboxCamphorC,25265,Mesh2Transform,180,300,-800,0,0,0,
matchboxCamphorD,25266,Mesh1Transform,-140,100,-800,0,0,0,
matchboxCamphorD,25266,Mesh2Transform,180,100,-800,0,0,0,
matchboxCamphorE,25267,Mesh1Transform,-160,-200,-800,0,0,0,
matchboxCamphorE,25267,Mesh2Transform,210,-200,-800,0,0,0,
matchboxCamphorF,25268,Mesh1Transform,-170,-400,-800,0,0,0,
matchboxCamphorF,25268,Mesh2Transform,210,-400,-800,0,0,0,
racingRingCourseCamphorB,25291,StartingPlatformTransform,2250,-6620,450,0,0,0,
racingRingCourseCamphorA,25290,DuplicateTransform-1,35,-725,25,0,0,-90,
racingRingCourseCamphorA,25290,OriginalTransform,3140,-5790,1150,-90,0,0,
racingRingCourseCamphorA,25290,StartingPlatformTransform,4773,-5784,1045,0,-270,0,
racingRingCourseCamphorA,25290,DuplicateTransform-0,50,-4490,760,-70,35,-90,
racingRingCourseCamphorA,25290,DuplicateTransform-2,1100,2600,-510,90,0,0,
BP_RuneAnimated_C WrapFour_pid1135,-1,ActorTransform,13808,30696,20007,0,0,0,
BP_RuneAnimated_C WrapFour_pid1164,-1,ActorTransform,13808,30696,20007,0,0,0,
BP_RuneAnimated_C WrapFour_pid269,-1,ActorTransform,13808,30696,20007,0,0,0,
BP_RuneAnimated_C WrapFour_pid873,-1,ActorTransform,13808,30696,20007,0,0,0,
BP_RuneAnimated_C WrapFour_pid879,-1,ActorTransform,13808,30696,20007,0,0,0,
BP_RuneAnimated_C WrapFour_pid941,-1,ActorTransform,13808,30696,20007,0,0,0,
BP_RuneAnimated_C WrapFour_pid942,-1,ActorTransform,13808,30696,20007,0,0,0,
BP_RuneAnimated_C WrapFour_pid943,-1,ActorTransform,13808,30696,20007,0,0,0,
BP_RuneAnimated_C WrapLR_pid15158,-1,ActorTransform,12076,39045,18768,0,0,0,
BP_RuneAnimated_C WrapLR_pid270,-1,ActorTransform,12076,39045,18768,0,0,0,
BP_RuneAnimated_C WrapLR_pid271,-1,ActorTransform,12076,39045,18768,0,0,0,
BP_RuneAnimated_C WrapLR_pid272,-1,ActorTransform,12076,39045,18768,0,0,0,
BP_RuneAnimated_C WrapLR_pid501,-1,ActorTransform,12076,39045,18768,0,0,0,
BP_RuneAnimated_C WrapLR_pid678,-1,ActorTransform,12076,39045,18768,0,0,0,
BP_RuneAnimated_C WrapLR_pid679,-1,ActorTransform,12076,39045,18768,0,0,0,
BP_RuneAnimated_C WrapLR_pid687,-1,ActorTransform,12076,39045,18768,0,0,0,
BP_RuneAnimated_C WrapLR_pid707,-1,ActorTransform,12076,39045,18768,0,0,0,
BP_RuneAnimated_C WrapLR_pid708,-1,ActorTransform,12076,39045,18768,0,0,0,
BP_RuneAnimated_C WrapLR_pid710,-1,ActorTransform,12076,39045,18768,0,0,0,
BP_RuneAnimated_C WrapLR_pid712,-1,ActorTransform,12076,39045,18768,0,0,0,
BP_RuneAnimated_C WrapLR_pid713,-1,ActorTransform,12076,39045,18768,0,0,0,
BP_RuneAnimated_C WrapLR_pid750,-1,ActorTransform,12076,39045,18768,0,0,0,
BP_RuneAnimated_C WrapLR_pid755,-1,ActorTransform,12076,39045,18768,0,0,0,
BP_RuneAnimated_C WrapLR_pid760,-1,ActorTransform,12076,39045,18768,0,0,0,
BP_RuneAnimated_C WrapFour_pid1135,-1,ActorTransform,130,430,-110,0,0,0,
BP_RuneAnimated_C WrapFour_pid1164,-1,ActorTransform,140,330,-110,0,0,0,
BP_RuneAnimated_C WrapFour_pid269,-1,ActorTransform,130,530,-110,0,0,0,
BP_RuneAnimated_C WrapFour_pid873,-1,ActorTransform,10,310,-120,0,0,0,
BP_RuneAnimated_C WrapFour_pid879,-1,ActorTransform,-110,370,-110,0,0,0,
