localID,pid,fields,dx,dy,dz,dpitch,dyaw,droll,comment
LostGridKeep01,-1,ActorTransform,-5740,670,-3220,0,0,0,
LostGridKeep02,-1,ActorTransform,-6460,510,-3265,0,0,0,
LostGridKeep04,-1,ActorTransform,-6370,1080,-3390,0,0,0,
LostGridKeep05,-1,ActorTransform,-5900,800,-3320,0,0,0,
LostGridKeep06,-1,ActorTransform,-5580,1470,-3390,0,0,0,
LostGridKeep09,-1,ActorTransform,-4740,1340,-3195,0,0,0,
LostGridKeep11,-1,ActorTransform,-2800,1660,-2800,0,0,0,
LostGridKeep23,-1,ActorTransform,-4580,500,-1280,0,0,0,
LostGridKeep24,-1,ActorTransform,-4350,70,-1020,0,0,0,
LostGridKeep00,-1,ActorTransform,-4690,1670,-2880,0,0,0,
LostGridKeep03,-1,ActorTransform,-4210,1510,-2770,0,0,0,
LostGridKeep07,-1,ActorTransform,-4290,1260,-2695,0,0,0,
LostGridKeep08,-1,ActorTransform,-3120,1250,-2550,0,0,0,
LostGridKeep10,-1,ActorTransform,-2640,1190,-2570,0,0,0,
LostGridKeep12,-1,ActorTransform,-1560,10,-120,0,0,0,
LostGridKeep13,-1,ActorTransform,-1910,-110,-40,0,0,0,
LostGridKeep14,-1,ActorTransform,-1720,150,-120,0,0,0,
LostGridKeep15,-1,ActorTransform,-2070,690,-940,0,0,0,
LostGridKeep16,-1,ActorTransform,-2230,720,-940,0,0,0,
LostGridKeep17,-1,ActorTransform,-2920,230,-430,0,0,0,
LostGridKeep18,-1,ActorTransform,-3120,360,-520,0,0,0,
LostGridKeep19,-1,ActorTransform,-3100,130,-390,0,0,0,
LostGridKeep20,-1,ActorTransform,-3290,110,-700,0,0,0,
LostGridKeep21,-1,ActorTransform,-3360,-30,-690,0,0,0,
LostGridKeep22,-1,ActorTransform,-4220,430,-1080,0,0,0,
LostGridMusic00,-1,ActorTransform,-7000,1010,-760,0,0,0,
LostGridPattern00,-1,ActorTransform,-6040,1730,-3760,0,0,0,
LostGridPattern01,-1,ActorTransform,-6750,1500,-3890,0,0,0,
LostGridPattern02,-1,ActorTransform,-6320,1610,-3860,0,0,0,
LostGridPattern03,-1,ActorTransform,-7020,1670,-4200,0,0,0,
