zoneIndex,flags,x,y,z,pitch,yaw,roll
2,0,11195.25,75808.47,498.76,0,0,0
2,0,28466.28,54539.61,12035.22,0,0,0
2,0,15490.97,66062.56,2202.74,0,0,0
2,0,36017.79,61482.67,2024.52,0,0,0
2,0,57789.47,56483.6,15596,0,0,0
2,0,41846.11,71499.34,3023.29,0,0,0
2,0,42544.67,68513.11,2353.27,0,0,0
2,0,28621.62,46366.82,12831.61,0,0,0
2,0,38806.45,62748.96,2037.28,0,0,0
2,0,38105.48,58547.12,6207.61,0,0,0
2,0,42829.66,65629.79,2810.49,0,0,0
2,0,44412.36,41274.78,12619.22,0,0,0
2,0,35204.7,66540.78,1920.14,0,0,0
2,0,39228.61,54279.62,7864.47,0,0,0
2,0,40322.8,51567.68,10301.52,0,0,0
2,0,32295.95,68785.12,2809.51,0,0,0
2,0,37676.91,64013.71,3319.73,0,0,0
2,0,41496.89,63939.22,2303.16,0,0,0
2,0,37610.64,54993.16,6348.87,0,0,0
2,0,36356.18,52760.01,9347.11,0,0,0
2,0,61634.29,55446.13,14006.72,0,0,0
2,0,42655.9,67711.53,2360.12,0,0,0
2,0,33033.3,65268.69,2110.83,0,0,0
2,0,17518.32,64091.51,1254.42,0,0,0
2,0,24220.52,54541.03,10279.84,0,0,0
2,0,12506.41,64780.14,1398.45,0,0,0
2,0,15708.65,64043.86,1188.66,0,0,0
2,0,8002.39,52046.38,1121.7,0,0,0
2,0,43935,76408,10362,0,0,0
2,0,43035,87805,14158,0,0,0
2,0,40816,38525,9560,0,0,0
2,0,18885,72126,3868,0,0,0
2,0,45986,64978,7086,0,0,0
2,0,54993,66317,13342,0,0,0
2,0,27617,56583,10501,0,0,0
2,0,14561,67145,3250,0,0,0
2,0,23962,52159,8209,0,0,0
2,0,31616.14,39987.34,12150.41,0,0,0
2,0,32864,50434,9004,0,0,0
2,0,16632,48404,12116,0,0,0
2,0,17767,60829,1224,0,0,0
2,0,55080,78157,16066,0,0,0
2,0,41947,43300,9292,0,0,0
2,0,16636,61988,3248,0,0,0
2,0,6393,57547,1077,0,0,0
2,0,30381,65872,1392,0,0,0
2,0,41261,60407,6311,0,0,0
2,0,57256,47767,15611,0,0,0
